O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	Date	Domain Source
19-1011.00	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-1011.00	1.B.1.h	Second Interest High-Point	IH	1.00	06/2008	Analyst
19-1011.00	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
19-1012.00	1.B.1.a	Realistic	OI	5.33	06/2008	Analyst
19-1012.00	1.B.1.b	Investigative	OI	7.00	06/2008	Analyst
19-1012.00	1.B.1.c	Artistic	OI	3.00	06/2008	Analyst
19-1012.00	1.B.1.d	Social	OI	1.33	06/2008	Analyst
19-1012.00	1.B.1.e	Enterprising	OI	2.33	06/2008	Analyst
19-1012.00	1.B.1.f	Conventional	OI	4.33	06/2008	Analyst
19-1012.00	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-1012.00	1.B.1.h	Second Interest High-Point	IH	1.00	06/2008	Analyst
19-1012.00	1.B.1.i	Third Interest High-Point	IH	6.00	06/2008	Analyst
19-1013.00	1.B.1.a	Realistic	OI	5.67	06/2008	Analyst
19-1013.00	1.B.1.b	Investigative	OI	7.00	06/2008	Analyst
19-1013.00	1.B.1.c	Artistic	OI	3.67	06/2008	Analyst
19-1013.00	1.B.1.d	Social	OI	3.00	06/2008	Analyst
19-1013.00	1.B.1.e	Enterprising	OI	1.67	06/2008	Analyst
19-1013.00	1.B.1.f	Conventional	OI	3.00	06/2008	Analyst
19-1013.00	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-1013.00	1.B.1.h	Second Interest High-Point	IH	1.00	06/2008	Analyst
19-1013.00	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
19-1020.01	1.B.1.a	Realistic	OI	4.00	06/2008	Analyst
19-1020.01	1.B.1.b	Investigative	OI	7.00	06/2008	Analyst
19-1020.01	1.B.1.c	Artistic	OI	1.67	06/2008	Analyst
19-1020.01	1.B.1.d	Social	OI	1.33	06/2008	Analyst
19-1020.01	1.B.1.e	Enterprising	OI	3.00	06/2008	Analyst
19-1020.01	1.B.1.f	Conventional	OI	3.33	06/2008	Analyst
19-1020.01	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-1020.01	1.B.1.h	Second Interest High-Point	IH	1.00	06/2008	Analyst
19-1020.01	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
19-1021.00	1.B.1.a	Realistic	OI	4.67	06/2008	Analyst
19-1021.00	1.B.1.b	Investigative	OI	7.00	06/2008	Analyst
19-1021.00	1.B.1.c	Artistic	OI	5.00	06/2008	Analyst
19-1021.00	1.B.1.d	Social	OI	1.33	06/2008	Analyst
19-1021.00	1.B.1.e	Enterprising	OI	1.67	06/2008	Analyst
19-1021.00	1.B.1.f	Conventional	OI	3.33	06/2008	Analyst
19-1021.00	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-1021.00	1.B.1.h	Second Interest High-Point	IH	3.00	06/2008	Analyst
19-1021.00	1.B.1.i	Third Interest High-Point	IH	1.00	06/2008	Analyst
19-1022.00	1.B.1.a	Realistic	OI	4.67	06/2008	Analyst
19-1022.00	1.B.1.b	Investigative	OI	7.00	06/2008	Analyst
19-1022.00	1.B.1.c	Artistic	OI	1.33	06/2008	Analyst
19-1022.00	1.B.1.d	Social	OI	1.67	06/2008	Analyst
19-1022.00	1.B.1.e	Enterprising	OI	2.00	06/2008	Analyst
19-1022.00	1.B.1.f	Conventional	OI	3.00	06/2008	Analyst
19-1022.00	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-1022.00	1.B.1.h	Second Interest High-Point	IH	1.00	06/2008	Analyst
19-1022.00	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
19-1023.00	1.B.1.a	Realistic	OI	5.33	06/2008	Analyst
19-1023.00	1.B.1.b	Investigative	OI	7.00	06/2008	Analyst
19-1023.00	1.B.1.c	Artistic	OI	2.33	06/2008	Analyst
19-1023.00	1.B.1.d	Social	OI	1.67	06/2008	Analyst
19-1023.00	1.B.1.e	Enterprising	OI	2.67	06/2008	Analyst
19-1023.00	1.B.1.f	Conventional	OI	3.00	06/2008	Analyst
19-1023.00	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-1023.00	1.B.1.h	Second Interest High-Point	IH	1.00	06/2008	Analyst
19-1023.00	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
19-1029.01	1.B.1.a	Realistic	OI	4.33	06/2009	Analyst
19-1029.01	1.B.1.b	Investigative	OI	7.00	06/2009	Analyst
19-1029.01	1.B.1.c	Artistic	OI	3.00	06/2009	Analyst
19-1029.01	1.B.1.d	Social	OI	1.67	06/2009	Analyst
19-1029.01	1.B.1.e	Enterprising	OI	1.00	06/2009	Analyst
19-1029.01	1.B.1.f	Conventional	OI	5.00	06/2009	Analyst
19-1029.01	1.B.1.g	First Interest High-Point	IH	2.00	06/2009	Analyst
19-1029.01	1.B.1.h	Second Interest High-Point	IH	6.00	06/2009	Analyst
19-1029.01	1.B.1.i	Third Interest High-Point	IH	1.00	06/2009	Analyst
19-1029.02	1.B.1.a	Realistic	OI	5.33	06/2009	Analyst
19-1029.02	1.B.1.b	Investigative	OI	7.00	06/2009	Analyst
19-1029.02	1.B.1.c	Artistic	OI	4.67	06/2009	Analyst
19-1029.02	1.B.1.d	Social	OI	1.33	06/2009	Analyst
19-1029.02	1.B.1.e	Enterprising	OI	1.00	06/2009	Analyst
19-1029.02	1.B.1.f	Conventional	OI	3.00	06/2009	Analyst
19-1029.02	1.B.1.g	First Interest High-Point	IH	2.00	06/2009	Analyst
19-1029.02	1.B.1.h	Second Interest High-Point	IH	1.00	06/2009	Analyst
19-1029.02	1.B.1.i	Third Interest High-Point	IH	3.00	06/2009	Analyst
19-1029.03	1.B.1.a	Realistic	OI	4.33	06/2009	Analyst
19-1029.03	1.B.1.b	Investigative	OI	7.00	06/2009	Analyst
19-1029.03	1.B.1.c	Artistic	OI	4.33	06/2009	Analyst
19-1029.03	1.B.1.d	Social	OI	2.00	06/2009	Analyst
19-1029.03	1.B.1.e	Enterprising	OI	1.33	06/2009	Analyst
19-1029.03	1.B.1.f	Conventional	OI	3.00	06/2009	Analyst
19-1029.03	1.B.1.g	First Interest High-Point	IH	2.00	06/2009	Analyst
19-1029.03	1.B.1.h	Second Interest High-Point	IH	3.00	06/2009	Analyst
19-1029.03	1.B.1.i	Third Interest High-Point	IH	1.00	06/2009	Analyst
19-1031.01	1.B.1.a	Realistic	OI	5.33	06/2008	Analyst
19-1031.01	1.B.1.b	Investigative	OI	5.33	06/2008	Analyst
19-1031.01	1.B.1.c	Artistic	OI	2.00	06/2008	Analyst
19-1031.01	1.B.1.d	Social	OI	2.00	06/2008	Analyst
19-1031.01	1.B.1.e	Enterprising	OI	5.33	06/2008	Analyst
19-1031.01	1.B.1.f	Conventional	OI	2.67	06/2008	Analyst
19-1031.01	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-1031.01	1.B.1.h	Second Interest High-Point	IH	1.00	06/2008	Analyst
19-1031.01	1.B.1.i	Third Interest High-Point	IH	5.00	06/2008	Analyst
19-1031.02	1.B.1.a	Realistic	OI	6.00	06/2008	Analyst
19-1031.02	1.B.1.b	Investigative	OI	6.00	06/2008	Analyst
19-1031.02	1.B.1.c	Artistic	OI	1.33	06/2008	Analyst
19-1031.02	1.B.1.d	Social	OI	1.67	06/2008	Analyst
19-1031.02	1.B.1.e	Enterprising	OI	4.67	06/2008	Analyst
19-1031.02	1.B.1.f	Conventional	OI	3.67	06/2008	Analyst
19-1031.02	1.B.1.g	First Interest High-Point	IH	1.00	06/2008	Analyst
19-1031.02	1.B.1.h	Second Interest High-Point	IH	2.00	06/2008	Analyst
19-1031.02	1.B.1.i	Third Interest High-Point	IH	5.00	06/2008	Analyst
19-1031.03	1.B.1.a	Realistic	OI	4.67	06/2008	Analyst
19-1031.03	1.B.1.b	Investigative	OI	3.67	06/2008	Analyst
19-1031.03	1.B.1.c	Artistic	OI	4.33	06/2008	Analyst
19-1031.03	1.B.1.d	Social	OI	7.00	06/2008	Analyst
19-1031.03	1.B.1.e	Enterprising	OI	3.67	06/2008	Analyst
19-1031.03	1.B.1.f	Conventional	OI	1.67	06/2008	Analyst
19-1031.03	1.B.1.g	First Interest High-Point	IH	4.00	06/2008	Analyst
19-1031.03	1.B.1.h	Second Interest High-Point	IH	1.00	06/2008	Analyst
19-1031.03	1.B.1.i	Third Interest High-Point	IH	3.00	06/2008	Analyst
19-1032.00	1.B.1.a	Realistic	OI	6.67	06/2008	Analyst
19-1032.00	1.B.1.b	Investigative	OI	5.67	06/2008	Analyst
19-1032.00	1.B.1.c	Artistic	OI	1.33	06/2008	Analyst
19-1032.00	1.B.1.d	Social	OI	2.33	06/2008	Analyst
19-1032.00	1.B.1.e	Enterprising	OI	4.00	06/2008	Analyst
19-1032.00	1.B.1.f	Conventional	OI	3.00	06/2008	Analyst
19-1032.00	1.B.1.g	First Interest High-Point	IH	1.00	06/2008	Analyst
19-1032.00	1.B.1.h	Second Interest High-Point	IH	2.00	06/2008	Analyst
19-1032.00	1.B.1.i	Third Interest High-Point	IH	5.00	06/2008	Analyst
19-1041.00	1.B.1.a	Realistic	OI	3.67	06/2008	Analyst
19-1041.00	1.B.1.b	Investigative	OI	7.00	06/2008	Analyst
19-1041.00	1.B.1.c	Artistic	OI	1.67	06/2008	Analyst
19-1041.00	1.B.1.d	Social	OI	4.00	06/2008	Analyst
19-1041.00	1.B.1.e	Enterprising	OI	3.00	06/2008	Analyst
19-1041.00	1.B.1.f	Conventional	OI	3.33	06/2008	Analyst
19-1041.00	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-1041.00	1.B.1.h	Second Interest High-Point	IH	4.00	06/2008	Analyst
19-1041.00	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
19-1042.00	1.B.1.a	Realistic	OI	4.33	06/2008	Analyst
19-1042.00	1.B.1.b	Investigative	OI	7.00	06/2008	Analyst
19-1042.00	1.B.1.c	Artistic	OI	4.33	06/2008	Analyst
19-1042.00	1.B.1.d	Social	OI	4.00	06/2008	Analyst
19-1042.00	1.B.1.e	Enterprising	OI	1.67	06/2008	Analyst
19-1042.00	1.B.1.f	Conventional	OI	2.33	06/2008	Analyst
19-1042.00	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-1042.00	1.B.1.h	Second Interest High-Point	IH	1.00	06/2008	Analyst
19-1042.00	1.B.1.i	Third Interest High-Point	IH	3.00	06/2008	Analyst
19-2011.00	1.B.1.a	Realistic	OI	4.67	06/2008	Analyst
19-2011.00	1.B.1.b	Investigative	OI	7.00	06/2008	Analyst
19-2011.00	1.B.1.c	Artistic	OI	5.00	06/2008	Analyst
19-2011.00	1.B.1.d	Social	OI	2.67	06/2008	Analyst
19-2011.00	1.B.1.e	Enterprising	OI	1.67	06/2008	Analyst
19-2011.00	1.B.1.f	Conventional	OI	2.67	06/2008	Analyst
19-2011.00	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-2011.00	1.B.1.h	Second Interest High-Point	IH	3.00	06/2008	Analyst
19-2011.00	1.B.1.i	Third Interest High-Point	IH	1.00	06/2008	Analyst
19-2012.00	1.B.1.a	Realistic	OI	4.00	06/2008	Analyst
19-2012.00	1.B.1.b	Investigative	OI	7.00	06/2008	Analyst
19-2012.00	1.B.1.c	Artistic	OI	3.33	06/2008	Analyst
19-2012.00	1.B.1.d	Social	OI	1.00	06/2008	Analyst
19-2012.00	1.B.1.e	Enterprising	OI	2.00	06/2008	Analyst
19-2012.00	1.B.1.f	Conventional	OI	3.00	06/2008	Analyst
19-2012.00	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-2012.00	1.B.1.h	Second Interest High-Point	IH	1.00	06/2008	Analyst
19-2012.00	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
19-2021.00	1.B.1.a	Realistic	OI	4.33	06/2008	Analyst
19-2021.00	1.B.1.b	Investigative	OI	6.67	06/2008	Analyst
19-2021.00	1.B.1.c	Artistic	OI	2.33	06/2008	Analyst
19-2021.00	1.B.1.d	Social	OI	3.67	06/2008	Analyst
19-2021.00	1.B.1.e	Enterprising	OI	3.00	06/2008	Analyst
19-2021.00	1.B.1.f	Conventional	OI	3.67	06/2008	Analyst
19-2021.00	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-2021.00	1.B.1.h	Second Interest High-Point	IH	1.00	06/2008	Analyst
19-2021.00	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
19-2031.00	1.B.1.a	Realistic	OI	4.00	06/2008	Analyst
19-2031.00	1.B.1.b	Investigative	OI	7.00	06/2008	Analyst
19-2031.00	1.B.1.c	Artistic	OI	2.00	06/2008	Analyst
19-2031.00	1.B.1.d	Social	OI	1.00	06/2008	Analyst
19-2031.00	1.B.1.e	Enterprising	OI	2.00	06/2008	Analyst
19-2031.00	1.B.1.f	Conventional	OI	3.33	06/2008	Analyst
19-2031.00	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-2031.00	1.B.1.h	Second Interest High-Point	IH	1.00	06/2008	Analyst
19-2031.00	1.B.1.i	Third Interest High-Point	IH	6.00	06/2008	Analyst
19-2032.00	1.B.1.a	Realistic	OI	5.00	06/2008	Analyst
19-2032.00	1.B.1.b	Investigative	OI	7.00	06/2008	Analyst
19-2032.00	1.B.1.c	Artistic	OI	2.67	06/2008	Analyst
19-2032.00	1.B.1.d	Social	OI	1.33	06/2008	Analyst
19-2032.00	1.B.1.e	Enterprising	OI	3.67	06/2008	Analyst
19-2032.00	1.B.1.f	Conventional	OI	3.33	06/2008	Analyst
19-2032.00	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-2032.00	1.B.1.h	Second Interest High-Point	IH	1.00	06/2008	Analyst
19-2032.00	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
19-2041.00	1.B.1.a	Realistic	OI	5.33	06/2008	Analyst
19-2041.00	1.B.1.b	Investigative	OI	7.00	06/2008	Analyst
19-2041.00	1.B.1.c	Artistic	OI	3.33	06/2008	Analyst
19-2041.00	1.B.1.d	Social	OI	1.67	06/2008	Analyst
19-2041.00	1.B.1.e	Enterprising	OI	1.67	06/2008	Analyst
19-2041.00	1.B.1.f	Conventional	OI	4.00	06/2008	Analyst
19-2041.00	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-2041.00	1.B.1.h	Second Interest High-Point	IH	1.00	06/2008	Analyst
19-2041.00	1.B.1.i	Third Interest High-Point	IH	6.00	06/2008	Analyst
19-2041.01	1.B.1.a	Realistic	OI	2.00	07/2013	Analyst
19-2041.01	1.B.1.b	Investigative	OI	6.00	07/2013	Analyst
19-2041.01	1.B.1.c	Artistic	OI	2.67	07/2013	Analyst
19-2041.01	1.B.1.d	Social	OI	2.00	07/2013	Analyst
19-2041.01	1.B.1.e	Enterprising	OI	4.67	07/2013	Analyst
19-2041.01	1.B.1.f	Conventional	OI	3.00	07/2013	Analyst
19-2041.01	1.B.1.g	First Interest High-Point	IH	2.00	07/2013	Analyst
19-2041.01	1.B.1.h	Second Interest High-Point	IH	5.00	07/2013	Analyst
19-2041.01	1.B.1.i	Third Interest High-Point	IH	0.00	07/2013	Analyst
19-2041.02	1.B.1.a	Realistic	OI	6.00	07/2013	Analyst
19-2041.02	1.B.1.b	Investigative	OI	6.00	07/2013	Analyst
19-2041.02	1.B.1.c	Artistic	OI	2.33	07/2013	Analyst
19-2041.02	1.B.1.d	Social	OI	2.00	07/2013	Analyst
19-2041.02	1.B.1.e	Enterprising	OI	5.33	07/2013	Analyst
19-2041.02	1.B.1.f	Conventional	OI	2.33	07/2013	Analyst
19-2041.02	1.B.1.g	First Interest High-Point	IH	2.00	07/2013	Analyst
19-2041.02	1.B.1.h	Second Interest High-Point	IH	1.00	07/2013	Analyst
19-2041.02	1.B.1.i	Third Interest High-Point	IH	5.00	07/2013	Analyst
19-2041.03	1.B.1.a	Realistic	OI	2.33	07/2013	Analyst
19-2041.03	1.B.1.b	Investigative	OI	6.67	07/2013	Analyst
19-2041.03	1.B.1.c	Artistic	OI	2.33	07/2013	Analyst
19-2041.03	1.B.1.d	Social	OI	1.67	07/2013	Analyst
19-2041.03	1.B.1.e	Enterprising	OI	4.00	07/2013	Analyst
19-2041.03	1.B.1.f	Conventional	OI	2.67	07/2013	Analyst
19-2041.03	1.B.1.g	First Interest High-Point	IH	2.00	07/2013	Analyst
19-2041.03	1.B.1.h	Second Interest High-Point	IH	5.00	07/2013	Analyst
19-2041.03	1.B.1.i	Third Interest High-Point	IH	0.00	07/2013	Analyst
19-2042.00	1.B.1.a	Realistic	OI	5.00	06/2008	Analyst
19-2042.00	1.B.1.b	Investigative	OI	7.00	06/2008	Analyst
19-2042.00	1.B.1.c	Artistic	OI	3.00	06/2008	Analyst
19-2042.00	1.B.1.d	Social	OI	1.33	06/2008	Analyst
19-2042.00	1.B.1.e	Enterprising	OI	2.33	06/2008	Analyst
19-2042.00	1.B.1.f	Conventional	OI	3.33	06/2008	Analyst
19-2042.00	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-2042.00	1.B.1.h	Second Interest High-Point	IH	1.00	06/2008	Analyst
19-2042.00	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
19-2043.00	1.B.1.a	Realistic	OI	5.33	06/2008	Analyst
19-2043.00	1.B.1.b	Investigative	OI	7.00	06/2008	Analyst
19-2043.00	1.B.1.c	Artistic	OI	3.00	06/2008	Analyst
19-2043.00	1.B.1.d	Social	OI	1.33	06/2008	Analyst
19-2043.00	1.B.1.e	Enterprising	OI	2.67	06/2008	Analyst
19-2043.00	1.B.1.f	Conventional	OI	3.00	06/2008	Analyst
19-2043.00	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-2043.00	1.B.1.h	Second Interest High-Point	IH	1.00	06/2008	Analyst
19-2043.00	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
19-2099.01	1.B.1.a	Realistic	OI	6.33	06/2009	Analyst
19-2099.01	1.B.1.b	Investigative	OI	6.00	06/2009	Analyst
19-2099.01	1.B.1.c	Artistic	OI	2.33	06/2009	Analyst
19-2099.01	1.B.1.d	Social	OI	1.00	06/2009	Analyst
19-2099.01	1.B.1.e	Enterprising	OI	1.67	06/2009	Analyst
19-2099.01	1.B.1.f	Conventional	OI	3.33	06/2009	Analyst
19-2099.01	1.B.1.g	First Interest High-Point	IH	1.00	06/2009	Analyst
19-2099.01	1.B.1.h	Second Interest High-Point	IH	2.00	06/2009	Analyst
19-2099.01	1.B.1.i	Third Interest High-Point	IH	0.00	06/2009	Analyst
19-3011.00	1.B.1.a	Realistic	OI	2.33	06/2008	Analyst
19-3011.00	1.B.1.b	Investigative	OI	7.00	06/2008	Analyst
19-3011.00	1.B.1.c	Artistic	OI	2.67	06/2008	Analyst
19-3011.00	1.B.1.d	Social	OI	1.67	06/2008	Analyst
19-3011.00	1.B.1.e	Enterprising	OI	4.00	06/2008	Analyst
19-3011.00	1.B.1.f	Conventional	OI	4.67	06/2008	Analyst
19-3011.00	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-3011.00	1.B.1.h	Second Interest High-Point	IH	6.00	06/2008	Analyst
19-3011.00	1.B.1.i	Third Interest High-Point	IH	5.00	06/2008	Analyst
19-3011.01	1.B.1.a	Realistic	OI	1.33	07/2013	Analyst
19-3011.01	1.B.1.b	Investigative	OI	7.00	07/2013	Analyst
19-3011.01	1.B.1.c	Artistic	OI	2.00	07/2013	Analyst
19-3011.01	1.B.1.d	Social	OI	2.00	07/2013	Analyst
19-3011.01	1.B.1.e	Enterprising	OI	3.67	07/2013	Analyst
19-3011.01	1.B.1.f	Conventional	OI	3.33	07/2013	Analyst
19-3011.01	1.B.1.g	First Interest High-Point	IH	2.00	07/2013	Analyst
19-3011.01	1.B.1.h	Second Interest High-Point	IH	5.00	07/2013	Analyst
19-3011.01	1.B.1.i	Third Interest High-Point	IH	6.00	07/2013	Analyst
19-3022.00	1.B.1.a	Realistic	OI	1.00	06/2008	Analyst
19-3022.00	1.B.1.b	Investigative	OI	6.67	06/2008	Analyst
19-3022.00	1.B.1.c	Artistic	OI	2.00	06/2008	Analyst
19-3022.00	1.B.1.d	Social	OI	1.33	06/2008	Analyst
19-3022.00	1.B.1.e	Enterprising	OI	4.67	06/2008	Analyst
19-3022.00	1.B.1.f	Conventional	OI	5.00	06/2008	Analyst
19-3022.00	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-3022.00	1.B.1.h	Second Interest High-Point	IH	6.00	06/2008	Analyst
19-3022.00	1.B.1.i	Third Interest High-Point	IH	5.00	06/2008	Analyst
19-3031.01	1.B.1.a	Realistic	OI	1.33	06/2008	Analyst
19-3031.01	1.B.1.b	Investigative	OI	7.00	06/2008	Analyst
19-3031.01	1.B.1.c	Artistic	OI	3.67	06/2008	Analyst
19-3031.01	1.B.1.d	Social	OI	6.00	06/2008	Analyst
19-3031.01	1.B.1.e	Enterprising	OI	1.67	06/2008	Analyst
19-3031.01	1.B.1.f	Conventional	OI	3.67	06/2008	Analyst
19-3031.01	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-3031.01	1.B.1.h	Second Interest High-Point	IH	4.00	06/2008	Analyst
19-3031.01	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
19-3031.02	1.B.1.a	Realistic	OI	1.67	06/2008	Analyst
19-3031.02	1.B.1.b	Investigative	OI	6.67	06/2008	Analyst
19-3031.02	1.B.1.c	Artistic	OI	5.00	06/2008	Analyst
19-3031.02	1.B.1.d	Social	OI	6.00	06/2008	Analyst
19-3031.02	1.B.1.e	Enterprising	OI	2.67	06/2008	Analyst
19-3031.02	1.B.1.f	Conventional	OI	1.67	06/2008	Analyst
19-3031.02	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-3031.02	1.B.1.h	Second Interest High-Point	IH	4.00	06/2008	Analyst
19-3031.02	1.B.1.i	Third Interest High-Point	IH	3.00	06/2008	Analyst
19-3031.03	1.B.1.a	Realistic	OI	1.33	06/2008	Analyst
19-3031.03	1.B.1.b	Investigative	OI	6.00	06/2008	Analyst
19-3031.03	1.B.1.c	Artistic	OI	4.33	06/2008	Analyst
19-3031.03	1.B.1.d	Social	OI	6.33	06/2008	Analyst
19-3031.03	1.B.1.e	Enterprising	OI	2.67	06/2008	Analyst
19-3031.03	1.B.1.f	Conventional	OI	2.33	06/2008	Analyst
19-3031.03	1.B.1.g	First Interest High-Point	IH	4.00	06/2008	Analyst
19-3031.03	1.B.1.h	Second Interest High-Point	IH	2.00	06/2008	Analyst
19-3031.03	1.B.1.i	Third Interest High-Point	IH	3.00	06/2008	Analyst
19-3032.00	1.B.1.a	Realistic	OI	1.00	06/2008	Analyst
19-3032.00	1.B.1.b	Investigative	OI	6.33	06/2008	Analyst
19-3032.00	1.B.1.c	Artistic	OI	4.00	06/2008	Analyst
19-3032.00	1.B.1.d	Social	OI	4.00	06/2008	Analyst
19-3032.00	1.B.1.e	Enterprising	OI	5.33	06/2008	Analyst
19-3032.00	1.B.1.f	Conventional	OI	2.67	06/2008	Analyst
19-3032.00	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-3032.00	1.B.1.h	Second Interest High-Point	IH	5.00	06/2008	Analyst
19-3032.00	1.B.1.i	Third Interest High-Point	IH	3.00	06/2008	Analyst
19-3039.01	1.B.1.a	Realistic	OI	2.67	06/2009	Analyst
19-3039.01	1.B.1.b	Investigative	OI	7.00	06/2009	Analyst
19-3039.01	1.B.1.c	Artistic	OI	4.33	06/2009	Analyst
19-3039.01	1.B.1.d	Social	OI	5.00	06/2009	Analyst
19-3039.01	1.B.1.e	Enterprising	OI	1.00	06/2009	Analyst
19-3039.01	1.B.1.f	Conventional	OI	2.00	06/2009	Analyst
19-3039.01	1.B.1.g	First Interest High-Point	IH	2.00	06/2009	Analyst
19-3039.01	1.B.1.h	Second Interest High-Point	IH	4.00	06/2009	Analyst
19-3039.01	1.B.1.i	Third Interest High-Point	IH	3.00	06/2009	Analyst
19-3041.00	1.B.1.a	Realistic	OI	1.67	06/2008	Analyst
19-3041.00	1.B.1.b	Investigative	OI	7.00	06/2008	Analyst
19-3041.00	1.B.1.c	Artistic	OI	5.33	06/2008	Analyst
19-3041.00	1.B.1.d	Social	OI	4.67	06/2008	Analyst
19-3041.00	1.B.1.e	Enterprising	OI	1.67	06/2008	Analyst
19-3041.00	1.B.1.f	Conventional	OI	2.67	06/2008	Analyst
19-3041.00	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-3041.00	1.B.1.h	Second Interest High-Point	IH	3.00	06/2008	Analyst
19-3041.00	1.B.1.i	Third Interest High-Point	IH	4.00	06/2008	Analyst
19-3051.00	1.B.1.a	Realistic	OI	3.00	06/2008	Analyst
19-3051.00	1.B.1.b	Investigative	OI	6.67	06/2008	Analyst
19-3051.00	1.B.1.c	Artistic	OI	4.00	06/2008	Analyst
19-3051.00	1.B.1.d	Social	OI	2.00	06/2008	Analyst
19-3051.00	1.B.1.e	Enterprising	OI	4.67	06/2008	Analyst
19-3051.00	1.B.1.f	Conventional	OI	3.00	06/2008	Analyst
19-3051.00	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-3051.00	1.B.1.h	Second Interest High-Point	IH	5.00	06/2008	Analyst
19-3051.00	1.B.1.i	Third Interest High-Point	IH	3.00	06/2008	Analyst
19-3091.01	1.B.1.a	Realistic	OI	2.67	06/2008	Analyst
19-3091.01	1.B.1.b	Investigative	OI	6.67	06/2008	Analyst
19-3091.01	1.B.1.c	Artistic	OI	5.33	06/2008	Analyst
19-3091.01	1.B.1.d	Social	OI	3.67	06/2008	Analyst
19-3091.01	1.B.1.e	Enterprising	OI	2.33	06/2008	Analyst
19-3091.01	1.B.1.f	Conventional	OI	3.33	06/2008	Analyst
19-3091.01	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-3091.01	1.B.1.h	Second Interest High-Point	IH	3.00	06/2008	Analyst
19-3091.01	1.B.1.i	Third Interest High-Point	IH	0.00	06/2008	Analyst
19-3091.02	1.B.1.a	Realistic	OI	5.33	06/2008	Analyst
19-3091.02	1.B.1.b	Investigative	OI	7.00	06/2008	Analyst
19-3091.02	1.B.1.c	Artistic	OI	4.67	06/2008	Analyst
19-3091.02	1.B.1.d	Social	OI	2.00	06/2008	Analyst
19-3091.02	1.B.1.e	Enterprising	OI	2.33	06/2008	Analyst
19-3091.02	1.B.1.f	Conventional	OI	3.67	06/2008	Analyst
19-3091.02	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-3091.02	1.B.1.h	Second Interest High-Point	IH	1.00	06/2008	Analyst
19-3091.02	1.B.1.i	Third Interest High-Point	IH	3.00	06/2008	Analyst
19-3092.00	1.B.1.a	Realistic	OI	4.67	06/2008	Analyst
19-3092.00	1.B.1.b	Investigative	OI	7.00	06/2008	Analyst
19-3092.00	1.B.1.c	Artistic	OI	4.00	06/2008	Analyst
19-3092.00	1.B.1.d	Social	OI	2.67	06/2008	Analyst
19-3092.00	1.B.1.e	Enterprising	OI	1.00	06/2008	Analyst
19-3092.00	1.B.1.f	Conventional	OI	3.33	06/2008	Analyst
19-3092.00	1.B.1.g	First Interest High-Point	IH	2.00	06/2008	Analyst
19-3092.00	1.B.1.h	Second Interest High-Point	IH	1.00	06/2008	Analyst
