O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-9161.00	1.C.3.b	Concern for Others	IM	3.92	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9161.00	1.C.3.c	Social Orientation	IM	3.79	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9161.00	1.C.4.a	Self Control	IM	4.29	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9161.00	1.C.4.b	Stress Tolerance	IM	4.33	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9161.00	1.C.4.c	Adaptability/Flexibility	IM	4.46	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9161.00	1.C.5.a	Dependability	IM	4.67	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9161.00	1.C.5.b	Attention to Detail	IM	4.17	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9161.00	1.C.5.c	Integrity	IM	4.64	25	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9161.00	1.C.6	Independence	IM	3.88	25	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9161.00	1.C.7.a	Innovation	IM	3.76	25	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9161.00	1.C.7.b	Analytical Thinking	IM	4.28	25	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9199.01	1.C.1.a	Achievement/Effort	IM	3.86	28	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.01	1.C.1.b	Persistence	IM	4.07	28	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.01	1.C.1.c	Initiative	IM	4.18	28	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.01	1.C.2.b	Leadership	IM	4.32	28	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.01	1.C.3.a	Cooperation	IM	4.21	28	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.01	1.C.3.b	Concern for Others	IM	3.14	28	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.01	1.C.3.c	Social Orientation	IM	3.07	28	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.01	1.C.4.a	Self Control	IM	4.07	28	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.01	1.C.4.b	Stress Tolerance	IM	4.36	28	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.01	1.C.4.c	Adaptability/Flexibility	IM	4.18	28	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.01	1.C.5.a	Dependability	IM	4.46	28	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.01	1.C.5.b	Attention to Detail	IM	4.79	28	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.01	1.C.5.c	Integrity	IM	4.86	28	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.01	1.C.6	Independence	IM	3.50	28	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.01	1.C.7.a	Innovation	IM	3.18	28	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.01	1.C.7.b	Analytical Thinking	IM	4.25	28	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.02	1.C.1.a	Achievement/Effort	IM	4.21	23	0.14	3.93	4.50	N	08/2019	Incumbent
11-9199.02	1.C.1.b	Persistence	IM	4.39	24	0.16	4.06	4.73	N	08/2019	Incumbent
11-9199.02	1.C.1.c	Initiative	IM	4.23	24	0.16	3.91	4.55	N	08/2019	Incumbent
11-9199.02	1.C.2.b	Leadership	IM	4.31	24	0.13	4.04	4.58	N	08/2019	Incumbent
11-9199.02	1.C.3.a	Cooperation	IM	4.19	23	0.24	3.70	4.69	N	08/2019	Incumbent
11-9199.02	1.C.3.b	Concern for Others	IM	3.96	24	0.21	3.53	4.39	N	08/2019	Incumbent
11-9199.02	1.C.3.c	Social Orientation	IM	3.45	24	0.31	2.82	4.09	N	08/2019	Incumbent
11-9199.02	1.C.4.a	Self Control	IM	4.38	23	0.20	3.97	4.80	N	08/2019	Incumbent
11-9199.02	1.C.4.b	Stress Tolerance	IM	4.59	24	0.15	4.28	4.90	N	08/2019	Incumbent
11-9199.02	1.C.4.c	Adaptability/Flexibility	IM	3.91	24	0.23	3.44	4.39	N	08/2019	Incumbent
11-9199.02	1.C.5.a	Dependability	IM	4.56	24	0.18	4.19	4.94	N	08/2019	Incumbent
11-9199.02	1.C.5.b	Attention to Detail	IM	4.62	24	0.15	4.31	4.92	N	08/2019	Incumbent
11-9199.02	1.C.5.c	Integrity	IM	4.80	24	0.10	4.58	5.00	N	08/2019	Incumbent
11-9199.02	1.C.6	Independence	IM	4.07	24	0.21	3.63	4.51	N	08/2019	Incumbent
11-9199.02	1.C.7.a	Innovation	IM	3.67	24	0.20	3.27	4.08	N	08/2019	Incumbent
11-9199.02	1.C.7.b	Analytical Thinking	IM	4.06	24	0.17	3.70	4.42	N	08/2019	Incumbent
11-9199.03	1.C.1.a	Achievement/Effort	IM	4.56	24	0.17	4.20	4.91	N	07/2014	Incumbent
11-9199.03	1.C.1.b	Persistence	IM	4.52	24	0.17	4.17	4.87	N	07/2014	Incumbent
11-9199.03	1.C.1.c	Initiative	IM	4.49	24	0.21	4.06	4.92	N	07/2014	Incumbent
11-9199.03	1.C.2.b	Leadership	IM	3.99	24	0.23	3.51	4.46	N	07/2014	Incumbent
11-9199.03	1.C.3.a	Cooperation	IM	4.15	25	0.15	3.83	4.46	N	07/2014	Incumbent
11-9199.03	1.C.3.b	Concern for Others	IM	3.04	25	0.14	2.76	3.33	N	07/2014	Incumbent
11-9199.03	1.C.3.c	Social Orientation	IM	3.08	25	0.20	2.68	3.49	N	07/2014	Incumbent
11-9199.03	1.C.4.a	Self Control	IM	4.06	25	0.14	3.77	4.36	N	07/2014	Incumbent
11-9199.03	1.C.4.b	Stress Tolerance	IM	4.61	25	0.13	4.35	4.88	N	07/2014	Incumbent
11-9199.03	1.C.4.c	Adaptability/Flexibility	IM	3.75	25	0.18	3.38	4.13	N	07/2014	Incumbent
11-9199.03	1.C.5.a	Dependability	IM	4.50	25	0.16	4.18	4.82	N	07/2014	Incumbent
11-9199.03	1.C.5.b	Attention to Detail	IM	4.39	25	0.12	4.13	4.65	N	07/2014	Incumbent
11-9199.03	1.C.5.c	Integrity	IM	4.92	25	0.05	4.82	5.00	N	07/2014	Incumbent
11-9199.03	1.C.6	Independence	IM	3.70	25	0.22	3.24	4.16	N	07/2014	Incumbent
11-9199.03	1.C.7.a	Innovation	IM	3.35	25	0.13	3.07	3.62	N	07/2014	Incumbent
11-9199.03	1.C.7.b	Analytical Thinking	IM	4.79	25	0.09	4.60	4.98	N	07/2014	Incumbent
11-9199.04	1.C.1.a	Achievement/Effort	IM	4.00	20	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9199.04	1.C.1.b	Persistence	IM	4.10	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9199.04	1.C.1.c	Initiative	IM	4.24	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9199.04	1.C.2.b	Leadership	IM	4.52	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9199.04	1.C.3.a	Cooperation	IM	4.38	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9199.04	1.C.3.b	Concern for Others	IM	3.67	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9199.04	1.C.3.c	Social Orientation	IM	3.29	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9199.04	1.C.4.a	Self Control	IM	3.95	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9199.04	1.C.4.b	Stress Tolerance	IM	4.19	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9199.04	1.C.4.c	Adaptability/Flexibility	IM	4.14	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9199.04	1.C.5.a	Dependability	IM	4.30	20	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9199.04	1.C.5.b	Attention to Detail	IM	4.48	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9199.04	1.C.5.c	Integrity	IM	4.48	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9199.04	1.C.6	Independence	IM	3.71	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9199.04	1.C.7.a	Innovation	IM	3.90	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9199.04	1.C.7.b	Analytical Thinking	IM	4.33	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
11-9199.07	1.C.1.a	Achievement/Effort	IM	4.00	20	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.07	1.C.1.b	Persistence	IM	4.20	20	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.07	1.C.1.c	Initiative	IM	4.30	20	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.07	1.C.2.b	Leadership	IM	4.50	20	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.07	1.C.3.a	Cooperation	IM	4.25	20	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.07	1.C.3.b	Concern for Others	IM	3.90	20	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.07	1.C.3.c	Social Orientation	IM	3.55	20	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.07	1.C.4.a	Self Control	IM	4.65	20	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.07	1.C.4.b	Stress Tolerance	IM	4.65	20	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.07	1.C.4.c	Adaptability/Flexibility	IM	4.25	20	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.07	1.C.5.a	Dependability	IM	4.60	20	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.07	1.C.5.b	Attention to Detail	IM	4.35	20	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.07	1.C.5.c	Integrity	IM	4.90	20	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.07	1.C.6	Independence	IM	3.95	20	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.07	1.C.7.a	Innovation	IM	3.70	20	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.07	1.C.7.b	Analytical Thinking	IM	4.10	20	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.08	1.C.1.a	Achievement/Effort	IM	4.14	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.08	1.C.1.b	Persistence	IM	4.14	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.08	1.C.1.c	Initiative	IM	4.45	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.08	1.C.2.b	Leadership	IM	4.64	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.08	1.C.3.a	Cooperation	IM	4.23	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.08	1.C.3.b	Concern for Others	IM	4.00	21	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.08	1.C.3.c	Social Orientation	IM	3.33	21	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.08	1.C.4.a	Self Control	IM	4.64	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.08	1.C.4.b	Stress Tolerance	IM	4.45	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.08	1.C.4.c	Adaptability/Flexibility	IM	4.36	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.08	1.C.5.a	Dependability	IM	4.68	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.08	1.C.5.b	Attention to Detail	IM	4.45	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.08	1.C.5.c	Integrity	IM	4.95	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.08	1.C.6	Independence	IM	3.82	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.08	1.C.7.a	Innovation	IM	3.36	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.08	1.C.7.b	Analytical Thinking	IM	3.95	21	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
11-9199.09	1.C.1.a	Achievement/Effort	IM	3.95	23	0.21	3.52	4.38	N	07/2016	Incumbent
11-9199.09	1.C.1.b	Persistence	IM	4.22	23	0.19	3.83	4.61	N	07/2016	Incumbent
11-9199.09	1.C.1.c	Initiative	IM	4.15	23	0.15	3.85	4.46	N	07/2016	Incumbent
11-9199.09	1.C.2.b	Leadership	IM	4.44	23	0.15	4.14	4.75	N	07/2016	Incumbent
11-9199.09	1.C.3.a	Cooperation	IM	4.11	22	0.10	3.91	4.32	N	07/2016	Incumbent
11-9199.09	1.C.3.b	Concern for Others	IM	3.76	22	0.19	3.36	4.16	N	07/2016	Incumbent
11-9199.09	1.C.3.c	Social Orientation	IM	2.92	22	0.33	2.25	3.60	N	07/2016	Incumbent
11-9199.09	1.C.4.a	Self Control	IM	3.93	22	0.17	3.57	4.29	N	07/2016	Incumbent
11-9199.09	1.C.4.b	Stress Tolerance	IM	4.30	22	0.18	3.94	4.67	N	07/2016	Incumbent
11-9199.09	1.C.4.c	Adaptability/Flexibility	IM	4.34	21	0.17	3.99	4.69	N	07/2016	Incumbent
11-9199.09	1.C.5.a	Dependability	IM	4.69	22	0.12	4.44	4.93	N	07/2016	Incumbent
11-9199.09	1.C.5.b	Attention to Detail	IM	4.54	22	0.16	4.20	4.88	N	07/2016	Incumbent
11-9199.09	1.C.5.c	Integrity	IM	4.32	23	0.23	3.83	4.80	N	07/2016	Incumbent
11-9199.09	1.C.6	Independence	IM	3.59	23	0.29	3.00	4.19	N	07/2016	Incumbent
11-9199.09	1.C.7.a	Innovation	IM	3.56	23	0.18	3.20	3.93	N	07/2016	Incumbent
11-9199.09	1.C.7.b	Analytical Thinking	IM	4.17	23	0.24	3.68	4.66	N	07/2016	Incumbent
11-9199.10	1.C.1.a	Achievement/Effort	IM	3.97	16	0.21	3.52	4.42	N	07/2016	Incumbent
11-9199.10	1.C.1.b	Persistence	IM	4.28	16	0.14	3.99	4.58	N	07/2016	Incumbent
11-9199.10	1.C.1.c	Initiative	IM	4.13	16	0.22	3.67	4.59	N	07/2016	Incumbent
11-9199.10	1.C.2.b	Leadership	IM	4.09	16	0.26	3.53	4.65	N	07/2016	Incumbent
11-9199.10	1.C.3.a	Cooperation	IM	4.07	15	0.18	3.69	4.45	N	07/2016	Incumbent
11-9199.10	1.C.3.b	Concern for Others	IM	3.30	16	0.18	2.90	3.69	N	07/2016	Incumbent
11-9199.10	1.C.3.c	Social Orientation	IM	3.39	16	0.25	2.87	3.92	N	07/2016	Incumbent
11-9199.10	1.C.4.a	Self Control	IM	3.77	16	0.23	3.27	4.27	N	07/2016	Incumbent
11-9199.10	1.C.4.b	Stress Tolerance	IM	4.08	16	0.23	3.59	4.57	N	07/2016	Incumbent
11-9199.10	1.C.4.c	Adaptability/Flexibility	IM	4.08	16	0.24	3.58	4.59	N	07/2016	Incumbent
11-9199.10	1.C.5.a	Dependability	IM	4.07	16	0.23	3.57	4.56	N	07/2016	Incumbent
11-9199.10	1.C.5.b	Attention to Detail	IM	4.25	16	0.16	3.90	4.59	N	07/2016	Incumbent
11-9199.10	1.C.5.c	Integrity	IM	4.15	16	0.26	3.58	4.71	N	07/2016	Incumbent
11-9199.10	1.C.6	Independence	IM	3.60	16	0.20	3.17	4.04	N	07/2016	Incumbent
11-9199.10	1.C.7.a	Innovation	IM	3.47	16	0.19	3.07	3.87	N	07/2016	Incumbent
11-9199.10	1.C.7.b	Analytical Thinking	IM	3.79	16	0.23	3.29	4.29	N	07/2016	Incumbent
11-9199.11	1.C.1.a	Achievement/Effort	IM	3.88	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.11	1.C.1.b	Persistence	IM	4.17	24	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.11	1.C.1.c	Initiative	IM	4.12	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.11	1.C.2.b	Leadership	IM	3.68	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.11	1.C.3.a	Cooperation	IM	4.16	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.11	1.C.3.b	Concern for Others	IM	3.44	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.11	1.C.3.c	Social Orientation	IM	2.84	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.11	1.C.4.a	Self Control	IM	3.68	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.11	1.C.4.b	Stress Tolerance	IM	3.56	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.11	1.C.4.c	Adaptability/Flexibility	IM	3.80	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.11	1.C.5.a	Dependability	IM	4.20	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.11	1.C.5.b	Attention to Detail	IM	4.24	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.11	1.C.5.c	Integrity	IM	4.40	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.11	1.C.6	Independence	IM	3.68	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.11	1.C.7.a	Innovation	IM	3.54	24	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
11-9199.11	1.C.7.b	Analytical Thinking	IM	4.32	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
13-1011.00	1.C.1.a	Achievement/Effort	IM	4.45	34	0.15	4.14	4.76	N	06/2007	Incumbent
13-1011.00	1.C.1.b	Persistence	IM	4.54	34	0.13	4.27	4.81	N	06/2007	Incumbent
13-1011.00	1.C.1.c	Initiative	IM	4.63	34	0.12	4.39	4.87	N	06/2007	Incumbent
13-1011.00	1.C.2.b	Leadership	IM	4.32	34	0.19	3.94	4.71	N	06/2007	Incumbent
13-1011.00	1.C.3.a	Cooperation	IM	4.39	34	0.19	4.00	4.79	N	06/2007	Incumbent
13-1011.00	1.C.3.b	Concern for Others	IM	3.89	34	0.21	3.46	4.32	N	06/2007	Incumbent
13-1011.00	1.C.3.c	Social Orientation	IM	4.08	34	0.25	3.56	4.60	N	06/2007	Incumbent
13-1011.00	1.C.4.a	Self Control	IM	4.03	34	0.25	3.51	4.55	N	06/2007	Incumbent
13-1011.00	1.C.4.b	Stress Tolerance	IM	4.70	34	0.12	4.45	4.95	N	06/2007	Incumbent
13-1011.00	1.C.4.c	Adaptability/Flexibility	IM	4.37	34	0.19	3.99	4.75	N	06/2007	Incumbent
13-1011.00	1.C.5.a	Dependability	IM	4.50	34	0.21	4.08	4.92	N	06/2007	Incumbent
13-1011.00	1.C.5.b	Attention to Detail	IM	4.52	34	0.14	4.25	4.80	N	06/2007	Incumbent
13-1011.00	1.C.5.c	Integrity	IM	4.34	34	0.16	4.02	4.67	N	06/2007	Incumbent
13-1011.00	1.C.6	Independence	IM	4.10	34	0.22	3.65	4.56	N	06/2007	Incumbent
13-1011.00	1.C.7.a	Innovation	IM	4.03	34	0.24	3.55	4.51	N	06/2007	Incumbent
13-1011.00	1.C.7.b	Analytical Thinking	IM	3.98	34	0.21	3.56	4.41	N	06/2007	Incumbent
13-1021.00	1.C.1.a	Achievement/Effort	IM	4.05	20	0.15	3.74	4.37	N	07/2013	Incumbent
13-1021.00	1.C.1.b	Persistence	IM	3.78	20	0.19	3.38	4.17	N	07/2013	Incumbent
13-1021.00	1.C.1.c	Initiative	IM	4.26	19	0.13	3.99	4.53	N	07/2013	Incumbent
13-1021.00	1.C.2.b	Leadership	IM	3.93	19	0.17	3.56	4.29	N	07/2013	Incumbent
13-1021.00	1.C.3.a	Cooperation	IM	4.02	20	0.17	3.66	4.38	N	07/2013	Incumbent
13-1021.00	1.C.3.b	Concern for Others	IM	3.56	20	0.15	3.24	3.88	N	07/2013	Incumbent
13-1021.00	1.C.3.c	Social Orientation	IM	3.59	20	0.36	2.83	4.34	N	07/2013	Incumbent
13-1021.00	1.C.4.a	Self Control	IM	3.85	20	0.20	3.43	4.27	N	07/2013	Incumbent
13-1021.00	1.C.4.b	Stress Tolerance	IM	4.69	20	0.11	4.46	4.91	N	07/2013	Incumbent
13-1021.00	1.C.4.c	Adaptability/Flexibility	IM	3.86	20	0.27	3.29	4.44	N	07/2013	Incumbent
13-1021.00	1.C.5.a	Dependability	IM	4.61	20	0.12	4.37	4.86	N	07/2013	Incumbent
13-1021.00	1.C.5.b	Attention to Detail	IM	4.60	20	0.15	4.29	4.91	N	07/2013	Incumbent
13-1021.00	1.C.5.c	Integrity	IM	4.59	20	0.18	4.22	4.96	N	07/2013	Incumbent
13-1021.00	1.C.6	Independence	IM	3.70	20	0.31	3.05	4.34	N	07/2013	Incumbent
13-1021.00	1.C.7.a	Innovation	IM	3.08	20	0.22	2.62	3.53	N	07/2013	Incumbent
13-1021.00	1.C.7.b	Analytical Thinking	IM	4.27	20	0.20	3.85	4.69	N	07/2013	Incumbent
13-1022.00	1.C.1.a	Achievement/Effort	IM	3.81	29	0.19	3.43	4.20	N	07/2015	Incumbent
13-1022.00	1.C.1.b	Persistence	IM	3.93	29	0.10	3.74	4.13	N	07/2015	Incumbent
13-1022.00	1.C.1.c	Initiative	IM	4.03	29	0.14	3.74	4.31	N	07/2015	Incumbent
13-1022.00	1.C.2.b	Leadership	IM	3.68	29	0.19	3.28	4.08	N	07/2015	Incumbent
13-1022.00	1.C.3.a	Cooperation	IM	4.47	29	0.17	4.11	4.82	N	07/2015	Incumbent
13-1022.00	1.C.3.b	Concern for Others	IM	3.73	29	0.22	3.26	4.19	N	07/2015	Incumbent
13-1022.00	1.C.3.c	Social Orientation	IM	3.72	28	0.31	3.09	4.35	N	07/2015	Incumbent
13-1022.00	1.C.4.a	Self Control	IM	3.79	29	0.19	3.41	4.18	N	07/2015	Incumbent
13-1022.00	1.C.4.b	Stress Tolerance	IM	4.09	29	0.12	3.85	4.33	N	07/2015	Incumbent
13-1022.00	1.C.4.c	Adaptability/Flexibility	IM	4.37	29	0.18	3.99	4.74	N	07/2015	Incumbent
13-1022.00	1.C.5.a	Dependability	IM	4.35	29	0.19	3.96	4.74	N	07/2015	Incumbent
13-1022.00	1.C.5.b	Attention to Detail	IM	4.17	29	0.09	3.99	4.35	N	07/2015	Incumbent
13-1022.00	1.C.5.c	Integrity	IM	4.17	29	0.29	3.58	4.76	N	07/2015	Incumbent
13-1022.00	1.C.6	Independence	IM	3.85	29	0.23	3.38	4.32	N	07/2015	Incumbent
13-1022.00	1.C.7.a	Innovation	IM	3.58	29	0.28	3.01	4.14	N	07/2015	Incumbent
13-1022.00	1.C.7.b	Analytical Thinking	IM	3.83	29	0.17	3.48	4.18	N	07/2015	Incumbent
13-1023.00	1.C.1.a	Achievement/Effort	IM	4.13	23	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
13-1023.00	1.C.1.b	Persistence	IM	4.35	23	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
13-1023.00	1.C.1.c	Initiative	IM	4.35	23	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
13-1023.00	1.C.2.b	Leadership	IM	3.87	23	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
13-1023.00	1.C.3.a	Cooperation	IM	4.30	23	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
13-1023.00	1.C.3.b	Concern for Others	IM	3.26	23	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
13-1023.00	1.C.3.c	Social Orientation	IM	3.18	22	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
13-1023.00	1.C.4.a	Self Control	IM	4.26	23	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
13-1023.00	1.C.4.b	Stress Tolerance	IM	4.43	23	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
13-1023.00	1.C.4.c	Adaptability/Flexibility	IM	4.17	23	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
13-1023.00	1.C.5.a	Dependability	IM	4.52	23	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
13-1023.00	1.C.5.b	Attention to Detail	IM	4.57	23	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
13-1023.00	1.C.5.c	Integrity	IM	4.91	23	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
13-1023.00	1.C.6	Independence	IM	3.74	23	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
13-1023.00	1.C.7.a	Innovation	IM	3.43	23	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
13-1023.00	1.C.7.b	Analytical Thinking	IM	4.39	23	n/a	n/a	n/a	n/a	08/2019	Occupational Expert
13-1031.01	1.C.1.a	Achievement/Effort	IM	3.91	25	0.12	3.66	4.15	N	06/2010	Incumbent
13-1031.01	1.C.1.b	Persistence	IM	4.25	25	0.15	3.94	4.55	N	06/2010	Incumbent
13-1031.01	1.C.1.c	Initiative	IM	4.14	25	0.13	3.86	4.41	N	06/2010	Incumbent
13-1031.01	1.C.2.b	Leadership	IM	3.83	25	0.19	3.43	4.22	N	06/2010	Incumbent
13-1031.01	1.C.3.a	Cooperation	IM	4.32	25	0.15	4.01	4.62	N	06/2010	Incumbent
13-1031.01	1.C.3.b	Concern for Others	IM	3.92	25	0.24	3.44	4.41	N	06/2010	Incumbent
13-1031.01	1.C.3.c	Social Orientation	IM	3.30	25	0.20	2.89	3.72	N	06/2010	Incumbent
13-1031.01	1.C.4.a	Self Control	IM	4.38	25	0.13	4.10	4.66	N	06/2010	Incumbent
13-1031.01	1.C.4.b	Stress Tolerance	IM	4.48	25	0.09	4.30	4.67	N	06/2010	Incumbent
13-1031.01	1.C.4.c	Adaptability/Flexibility	IM	4.18	25	0.15	3.88	4.48	N	06/2010	Incumbent
13-1031.01	1.C.5.a	Dependability	IM	4.53	25	0.17	4.17	4.88	N	06/2010	Incumbent
13-1031.01	1.C.5.b	Attention to Detail	IM	4.49	25	0.09	4.31	4.67	N	06/2010	Incumbent
13-1031.01	1.C.5.c	Integrity	IM	4.82	25	0.13	4.55	5.00	N	06/2010	Incumbent
13-1031.01	1.C.6	Independence	IM	4.25	25	0.31	3.61	4.89	N	06/2010	Incumbent
13-1031.01	1.C.7.a	Innovation	IM	3.52	25	0.33	2.84	4.20	N	06/2010	Incumbent
13-1031.01	1.C.7.b	Analytical Thinking	IM	4.20	24	0.18	3.83	4.57	N	06/2010	Incumbent
13-1031.02	1.C.1.a	Achievement/Effort	IM	4.67	24	0.11	4.44	4.90	N	08/2019	Incumbent
13-1031.02	1.C.1.b	Persistence	IM	4.42	24	0.23	3.95	4.89	N	08/2019	Incumbent
13-1031.02	1.C.1.c	Initiative	IM	4.60	24	0.16	4.28	4.92	N	08/2019	Incumbent
13-1031.02	1.C.2.b	Leadership	IM	3.90	24	0.22	3.45	4.34	N	08/2019	Incumbent
13-1031.02	1.C.3.a	Cooperation	IM	4.24	24	0.33	3.56	4.91	N	08/2019	Incumbent
13-1031.02	1.C.3.b	Concern for Others	IM	4.29	24	0.32	3.62	4.96	N	08/2019	Incumbent
13-1031.02	1.C.3.c	Social Orientation	IM	4.08	24	0.30	3.45	4.70	N	08/2019	Incumbent
13-1031.02	1.C.4.a	Self Control	IM	4.75	24	0.11	4.53	4.97	N	08/2019	Incumbent
