Element ID	Element Name	Description
3.C.2.g	Implementation Planning - Entry Requirement	Entry requirement for developing approaches for implementing an idea
3.C.2.h	Solution Appraisal - Entry Requirement	Entry requirement for observing and evaluating the outcomes of a problem solution to identify lessons learned or redirect efforts
3.C.3	Technical Skills - Entry Requirement	Entry requirement for developed capacities used to design, set-up, operate, and correct malfunctions involving application of machines or technological systems
3.C.3.a	Operations Analysis - Entry Requirement	Entry requirement for analyzing needs and product requirements to create a design
3.C.3.b	Technology Design - Entry Requirement	Entry requirement for generating or adapting equipment and technology to serve user needs
3.C.3.c	Equipment Selection - Entry Requirement	Entry requirement for determining the kind of tools and equipment needed to do a job
3.C.3.d	Installation - Entry Requirement	Entry requirement for installing equipment, machines, wiring, or programs to meet specifications
3.C.3.e	Programming - Entry Requirement	Entry requirement for writing computer programs for various purposes
3.C.3.f	Testing - Entry Requirement	Entry requirement for conducting tests to determine whether equipment, software, or procedures are operating as expected
3.C.3.g	Operation Monitoring - Entry Requirement	Entry requirement for watching gauges, dials, or other indicators to make sure a machine is working properly
3.C.3.h	Operation and Control - Entry Requirement	Entry requirement for controlling operations of equipment or systems
3.C.3.i	Product Inspection - Entry Requirement	Entry requirement for inspecting and evaluating the quality of products
3.C.3.j	Equipment Maintenance - Entry Requirement	Entry requirement for performing routine maintenance and determining when and what kind of maintenance is needed
3.C.3.k	Troubleshooting - Entry Requirement	Entry requirement for determining what is causing an operating error and deciding what to do about it
3.C.3.l	Repairing - Entry Requirement	Entry requirement for repairing machines or systems using the needed tools
3.C.4	Systems Skills - Entry Requirement	Entry requirement for developed capacities used to understand, monitor, and improve socio-technical systems
3.C.4.a	Visioning - Entry Requirement	Entry requirement for developing an image of how a system should work under ideal conditions
3.C.4.b	Systems Perception - Entry Requirement	Entry requirement for determining when important changes have occurred in a system or are likely to occur
3.C.4.c	Identifying Downstream Consequences - Entry Requirement	Entry requirement for determining the long-term outcomes of a change in operations
3.C.4.d	Identification of Key Causes - Entry Requirement	Entry requirement for identifying the things that must be changed to achieve a goal
3.C.4.e	Judgment and Decision Making - Entry Requirement	Entry requirement for weighing the relative costs and benefits of a potential action
3.C.4.f	System Evaluation - Entry Requirement	Entry requirement for looking at many indicators of system performance, taking into account their accuracy
3.C.5	Resource Management Skills - Entry Requirement	Entry requirement for developed capacities used to allocate resources efficiently
3.C.5.a	Time Management - Entry Requirement	Entry requirement for managing one's own time and the time of others
3.C.5.b	Management of Financial Resources - Entry Requirement	Entry requirement for determining how money will be spent to get the work done, and accounting for these expenditures
3.C.5.c	Management of Material Resources - Entry Requirement	Entry requirement for obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work
3.C.5.d	Management of Personnel Resources - Entry Requirement	Entry requirement for motivating, developing, and directing people as they work, identifying the best people for the job
3.D	Licensing	Licenses, certificates, or registrations that are awarded to show that a job holder has gained certain skills. This includes requirements for obtaining these credentials, and the organization or agency requiring their possession.
3.D.1	License, Certificate, or Registration Required	At least one license, certificate, or registration is required to perform in this job, including a driver's or vehicle operator's license. The specific license(s), certificate(s), or registration(s) are listed.
3.D.2	Specific License or Certificate Required	Specific education, training, examination, or other requirements for obtaining the licenses, certificates, or registration needed to perform in this job
3.D.2.a	Post-Secondary Degree	Obtaining the licenses, certificates, or registration needed to perform in this job requires a post-secondary degree, for example an Associate's or Bachelor's degree.
3.D.2.b	Graduate Degree	Obtaining the licenses, certificates, or registration needed to perform in this job requires a graduate degree, for example, a Master's or Doctoral degree.
3.D.2.c	On-the-Job Training	Obtaining the licenses, certificates, or registration needed to perform in this job requires on-the-job training, including apprenticeships, internships, and other supervised experiences.
3.D.2.d	Examination	Obtaining the licenses, certificates, or registration needed to perform in this job requires an examination, for example, written, oral, or performance assessments.
3.D.2.e	Character References	Obtaining the licenses, certificates, or registration needed to perform in this job requires one or more character references from other individuals.
3.D.4	Additional Education and Training	Retaining the licenses, certificates, or registration needed to perform in this job requires additional course work.
3.D.5	Organization and Agency Requirements	Organizations or agencies requiring the specific licenses, certificates, or registration needed to perform in a job
3.D.5.a	Legal Requirement	Federal, state, or local law requires possessing specific licenses, certificates, or registration for performance in this job.
3.D.5.b	Employer Requirement	Employers require possessing specific licenses, certificates, or registration for performance in this job.
3.D.5.c	Union, Guild, or Professional Association	A union or professional association requires possessing specific licenses, certificates, or registration for performance in this job.
4	Occupational Requirements	Occupational Requirements
4.A	Generalized Work Activities	Work activities that are common across a very large number of occupations. They are performed in almost all job families and industries.
4.A.1	Information Input	Where and how are the information and data gained that are needed to perform this job?
4.A.1.a	Looking for and Receiving Job-Related Information	How is information obtained to perform this job?
4.A.1.a.1	Getting Information	Observing, receiving, and otherwise obtaining information from all relevant sources.
4.A.1.a.2	Monitor Processes, Materials, or Surroundings	Monitoring and reviewing information from materials, events, or the environment, to detect or assess problems.
4.A.1.b	Identify and Evaluating Job-Relevant Information	How is information interpreted to perform this job?
4.A.1.b.1	Identifying Objects, Actions, and Events	Identifying information by categorizing, estimating, recognizing differences or similarities, and detecting changes in circumstances or events.
4.A.1.b.2	Inspecting Equipment, Structures, or Material	Inspecting equipment, structures, or materials to identify the cause of errors or other problems or defects.
4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information	Estimating sizes, distances, and quantities; or determining time, costs, resources, or materials needed to perform a work activity.
4.A.2	Mental Processes	What processing, planning, problem-solving, decision-making, and innovating activities are performed with job-relevant information?
4.A.2.a	Information and Data Processing	How is information processed to perform this job?
4.A.2.a.1	Judging the Qualities of Things, Services, or People	Assessing the value, importance, or quality of things or people.
4.A.2.a.2	Processing Information	Compiling, coding, categorizing, calculating, tabulating, auditing, or verifying information or data.
4.A.2.a.3	Evaluating Information to Determine Compliance with Standards	Using relevant information and individual judgment to determine whether events or processes comply with laws, regulations, or standards.
4.A.2.a.4	Analyzing Data or Information	Identifying the underlying principles, reasons, or facts of information by breaking down information or data into separate parts.
4.A.2.b	Reasoning and Decision Making	What decisions are made and problems solved in performing this job?
4.A.2.b.1	Making Decisions and Solving Problems	Analyzing information and evaluating results to choose the best solution and solve problems.
4.A.2.b.2	Thinking Creatively	Developing, designing, or creating new applications, ideas, relationships, systems, or products, including artistic contributions.
4.A.2.b.3	Updating and Using Relevant Knowledge	Keeping up-to-date technically and applying new knowledge to your job.
4.A.2.b.4	Developing Objectives and Strategies	Establishing long-range objectives and specifying the strategies and actions to achieve them.
4.A.2.b.5	Scheduling Work and Activities	Scheduling events, programs, and activities, as well as the work of others.
4.A.2.b.6	Organizing, Planning, and Prioritizing Work	Developing specific goals and plans to prioritize, organize, and accomplish your work.
4.A.3	Work Output	What physical activities are performed, what equipment and vehicles are operated/controlled, and what complex/technical activities are accomplished as job outputs?
4.A.3.a	Performing Physical and Manual Work Activities	What activities using the body and hands are done to perform this job?
4.A.3.a.1	Performing General Physical Activities	Performing physical activities that require considerable use of your arms and legs and moving your whole body, such as climbing, lifting, balancing, walking, stooping, and handling of materials.
4.A.3.a.2	Handling and Moving Objects	Using hands and arms in handling, installing, positioning, and moving materials, and manipulating things.
4.A.3.a.3	Controlling Machines and Processes	Using either control mechanisms or direct physical activity to operate machines or processes (not including computers or vehicles).
4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment	Running, maneuvering, navigating, or driving vehicles or mechanized equipment, such as forklifts, passenger vehicles, aircraft, or water craft.
4.A.3.b	Performing Complex and Technical Activities	What skilled activities using coordinated movements are done to perform this job?
4.A.3.b.1	Interacting With Computers	Using computers and computer systems (including hardware and software) to program, write software, set up functions, enter data, or process information.
4.A.3.b.2	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	Providing documentation, detailed instructions, drawings, or specifications to tell others about how devices, parts, equipment, or structures are to be fabricated, constructed, assembled, modified, maintained, or used.
4.A.3.b.4	Repairing and Maintaining Mechanical Equipment	Servicing, repairing, adjusting, and testing machines, devices, moving parts, and equipment that operate primarily on the basis of mechanical (not electronic) principles.
4.A.3.b.5	Repairing and Maintaining Electronic Equipment	Servicing, repairing, calibrating, regulating, fine-tuning, or testing machines, devices, and equipment that operate primarily on the basis of electrical or electronic (not mechanical) principles.
4.A.3.b.6	Documenting/Recording Information	Entering, transcribing, recording, storing, or maintaining information in written or electronic/magnetic form.
4.A.4	Interacting With Others	What interactions with other persons or supervisory activities occur while performing this job?
4.A.4.a	Communicating and Interacting	What interactions with other people occur while performing this job?
4.A.4.a.1	Interpreting the Meaning of Information for Others	Translating or explaining what information means and how it can be used.
4.A.4.a.2	Communicating with Supervisors, Peers, or Subordinates	Providing information to supervisors, co-workers, and subordinates by telephone, in written form, e-mail, or in person.
4.A.4.a.3	Communicating with Persons Outside Organization	Communicating with people outside the organization, representing the organization to customers, the public, government, and other external sources. This information can be exchanged in person, in writing, or by telephone or e-mail.
4.A.4.a.4	Establishing and Maintaining Interpersonal Relationships	Developing constructive and cooperative working relationships with others, and maintaining them over time.
4.A.4.a.5	Assisting and Caring for Others	Providing personal assistance, medical attention, emotional support, or other personal care to others such as coworkers, customers, or patients.
4.A.4.a.6	Selling or Influencing Others	Convincing others to buy merchandise/goods or to otherwise change their minds or actions.
4.A.4.a.7	Resolving Conflicts and Negotiating with Others	Handling complaints, settling disputes, and resolving grievances and conflicts, or otherwise negotiating with others.
4.A.4.a.8	Performing for or Working Directly with the Public	Performing for people or dealing directly with the public. This includes serving customers in restaurants and stores, and receiving clients or guests.
4.A.4.b	Coordinating, Developing, Managing, and Advising	What coordinating, managerial, or advisory activities are done while performing this job?
4.A.4.b.1	Coordinating the Work and Activities of Others	Getting members of a group to work together to accomplish tasks.
4.A.4.b.2	Developing and Building Teams	Encouraging and building mutual trust, respect, and cooperation among team members.
4.A.4.b.3	Training and Teaching Others	Identifying the educational needs of others, developing formal educational or training programs or classes, and teaching or instructing others.
4.A.4.b.4	Guiding, Directing, and Motivating Subordinates	Providing guidance and direction to subordinates, including setting performance standards and monitoring performance.
4.A.4.b.5	Coaching and Developing Others	Identifying the developmental needs of others and coaching, mentoring, or otherwise helping others to improve their knowledge or skills.
4.A.4.b.6	Provide Consultation and Advice to Others	Providing guidance and expert advice to management or other groups on technical, systems-, or process-related topics.
4.A.4.c	Administering	What administrative, staffing, monitoring, or controlling activities are done while performing this job?
4.A.4.c.1	Performing Administrative Activities	Performing day-to-day administrative tasks such as maintaining information files and processing paperwork.
4.A.4.c.2	Staffing Organizational Units	Recruiting, interviewing, selecting, hiring, and promoting employees in an organization.
4.A.4.c.3	Monitoring and Controlling Resources	Monitoring and controlling resources and overseeing the spending of money.
4.B	Organizational Context	Characteristics of the organization that influence how people do their work
4.B.1	Structural Characteristics	A functional subsystem of organization structure subsuming constructs of (a) organizational structure, and (b) human resources systems and practices
4.B.1.a	Organizational Structure	The architecture or anatomy of an organization, affecting the behavior of organizational members as well as the ability of organizations to adapt effectively to their environments. Elements of organizational structure include the hierarchy of the organization, the degree of centralization, and the nature of work groups used to accomplish organizational objectives
4.B.1.a.1	Decision Making System	The amount of autonomy and involvement in decision making that employees have
4.B.1.a.1.a	Decentralization and Employee Empowerment	Indicates the degree to which employees are provided with different types of information and participate in decision-making
4.B.1.a.1.a.1	Have Control Over Unit or Department	You have a great deal of control over what happens in your unit or department
4.B.1.a.1.a.2	Have Influence Over Decisions	You have a great deal of influence over decisions that are made in your unit or department.
4.B.1.a.1.a.3	Monitor Data on Quality/Costs/Waste/etc.	You monitor data on quality, costs, waste, and productivity
4.B.1.a.1.a.4	Determine Work Flow or Order of Tasks	You determine work flow or the order in which tasks are performed
4.B.1.a.1.a.5	Invest in New Equipment and Technology	You invest in new equipment and technology
4.B.1.a.1.a.6	Develop New Products, Services, and Procedures	You develop new products, services, and procedures
4.B.1.a.1.b	Individual versus Team Structure	Identifies the extent to which employees work in intact teams
4.B.1.a.1.b.1	Percent of Time in Intact Team	Approximately what percentage of your time do you spend working in an intact team? By intact team we mean a group of 3 or more employees who are jointly responsible for whole work processes and work toward shared goals (e.g., production team; development team; project team).
4.B.1.a.2	Job Characteristics	Indicates the level of skill variety, task significance, task identity, autonomy, and feedback in this job
4.B.1.a.2.a	Skill Variety	The variety of skills required of people in this job
4.B.1.a.2.a.1	Job Variety	How much variety is there in your job? That is, to what extent does the job require you to do many different things at work, using a variety of your skills and talents?
4.B.1.a.2.a.2	Complex or High Level Skills Required	Your job requires you to use a number of complex or high-level skills.
4.B.1.a.2.a.3	Variety of Tasks Required	Your job requires you to perform a variety of tasks.
4.B.1.a.2.b	Task Significance	The importance or significance of the tasks performed on this job, as reflected by its effect on the lives or well-being of others
4.B.1.a.2.b.1	Significance or Importance of Job	In general, how significant or important is your job? That is, are the results of your work likely to significantly affect the lives or well-being of other people?
4.B.1.a.2.b.2	Job Quality Affects Lots of People	Your job is one where a lot of people can be affected by how well the work gets done.
4.B.1.a.2.b.3	Job Itself Is Very Significant	Your job itself is very significant and important in the broader scheme of things.
4.B.1.a.2.c	Task Identity	The extent to which tasks performed on this job can be perceived as contributing to the final product
4.B.1.a.2.c.1	Job Involves Whole Piece of Work	To what extent does your job involve doing a 'whole' and identifiable piece of work? That is, is the job a complete piece of work that has an obvious beginning and end? Or is it only a small part of the overall piece of work, which is finished by other people or automatic machines? (If your job involves many different tasks or pieces of work, try to think about your typical tasks or the tasks you spend the most time on.)
4.B.1.a.2.c.2	Can Do Entire Piece of Work	Your job is arranged so that you can do an entire piece of work from beginning to end.
4.B.1.a.2.c.3	Can Finish What You Start	Your job provides you a chance to completely finish the piece of work you began.
4.B.1.a.2.d	Autonomy	The amount of freedom in the job, as reflected in a person being able to exercise personal initiative and judgment in task performance
4.B.1.a.2.d.1	Autonomy and Freedom in Job	How much autonomy and freedom are there in your job? That is, to what extent does your job permit you to decide on your own how to go about doing your job?
4.B.1.a.2.d.2	Chance for Initiative and Judgment	Your job gives you a chance to use your personal initiative and judgment in carrying out the work.
4.B.1.a.2.d.3	Opportunity for Independence and Freedom	Your job gives you considerable opportunity for independence and freedom in how you do your job.
4.B.1.a.2.e	Feedback	The extent to which this job provides information about how well one is performing
4.B.1.a.2.e.1	Extent of Feedback From Doing Job Itself	To what extent does doing the job itself provide you with information about your work performance? That is, does the actual work itself provide clues about how well you are doing--aside from any 'feedback' co-workers or supervisors may provide?
4.B.1.a.2.e.2	Doing Job Provides Chances for Feedback	Just doing the job provides many chances for you to figure out how well you are doing.
4.B.1.a.2.e.3	After Finishing Job, Know Own Performance	After you finish a job, you know whether you performed well.
4.B.1.a.3	Job Stability and Rotation	The amount of stability in the job and the extent of job rotation
4.B.1.a.3.a	Number of Supervisors in Past Year	How many different supervisors have you had in the past year?
4.B.1.a.3.b	Number of Work Teams in Past Year	Approximately how many different work teams have you belonged to during the past year?
4.B.1.a.3.c	Number of Work Group Reorganizations in Past Year	In the past year, how many times has your primary work group gone through some kind of reorganization?
4.B.1.a.3.d	Number of Times Nature of Job Changed	In the past year, how many times has the nature of your job duties changed dramatically?
4.B.1.a.3.e	Job Rotation Practices	Which statement best describes the job rotation practices in your job and your work group?
4.B.1.b	Human Resources Systems and Practices	Organizational practices and policies designed to ensure that an organization has employees who are capable of meeting its goals
4.B.1.b.1	Recruitment and Selection	Organizational practices, decisions, and processes that affect (a) the capability of an organization to make hiring, promotion, and other personnel decisions, and (b) the number or types of individuals who are willing to apply for or accept a given vacancy
4.B.1.b.1.a	Recruitment Operations	Activities involved in implementing recruitment plans (e.g., selecting sources, realistic job preview)
4.B.1.b.1.a.1	Sources of People for Current Job	Which of the sources listed below are used to recruit people for your current job?
4.B.1.b.1.b	Selection Assessment Methods Used	The methods used for selection or promotion of employees
4.B.1.b.1.b.1	Assessment Methods Used to Select for Job	Which of the following assessment methods are used to select people for your current job?
4.B.1.b.2	Training and Development	The systematic acquisition of attitudes, concepts, knowledge, roles, or skills that result in improved performance at work
4.B.1.b.2.a	Training Methods	The methods used in training programs
4.B.1.b.2.a.1	Training Methods Used in Company	Which of the following training methods have been used in company training courses you have attended in the last two years?
4.B.1.b.2.b	Training Topics and Content	What trainers intend to teach trainees through training programs
4.B.1.b.2.b.1	Areas of Recent Formal Training	In which of the following content areas have you received formal training in the last two years?
4.B.1.b.2.c	Extent and Support of Training Activities	The extent to which an organization makes training available to its employees and provides financial support for training activities
4.B.1.b.2.c.1	Recent Technical Skill Training	In the last two years, how often have you attended company sponsored job-related technical training (i.e., technical skill training)?
4.B.1.b.3	Reward System	Monetary compensation and monetary and non-monetary benefits organizations provide to their employees
4.B.1.b.3.a	Basis of Compensation	The extent to which organizations reward individuals based on: (a) their knowledge, skills, and performance, (b) seniority, (c) team performance, (d) organizational performance, and (e) job attributes
4.B.1.b.3.a.1	Compensation Package Components	Which of the following is part of your compensation package (i.e., pay)?
4.B.1.b.3.b	Benefits	The extent to which employees' compensation includes benefits such as pensions, insurance, paid leave, awards and bonuses, pay for time not worked, etc.
4.B.1.b.3.b.1	Benefit Components	Which of the following is part of your benefits?
4.B.2	Social Processes	A functional subsystem of organization structure subsuming processes linking people (employees) to their work and to each other and includes elements such as values, goals, leadership, and roles
4.B.2.a	Goals	Individual goal setting.
4.B.2.a.1	Individual Goal Characteristics	The extent to which an individual's goal is made explicit, and the probability that an individual can attain the goal
4.B.2.a.1.a	Achieve Most Important Individual Goal	Realistically, the probability that you will achieve your most important individual work goal this year is:
4.B.2.a.1.b	How Many Quantitative Individual Goals	How many of your individual work goals are quantitative (e.g., selling $100,000 worth of merchandise as opposed to selling as much merchandise as possible).
4.B.2.a.2	Goal Feedback	The extent to which an individual is given periodic feedback regarding his or her progress against a goal
4.B.2.a.2.a	How Many Specific Individual Goals	How many of your individual work goals are specific -- that is, you will know exactly when you have achieved them?
4.B.2.a.2.b	When Get Information on Individual Goals	How often do you get information regarding how close you are to achieving your most important individual work goal (for example, an interim financial report or data on number of units sold)?
4.B.2.a.2.c	Informal, Job-Relevant Feedback	To what extent do you receive informal, job-relevant feedback from your supervisor?
4.B.2.a.2.d	Meet One-on-One With Supervisor on Goals, Training, and Development	During the past year, how often have you met one-on-one with your immediate supervisor to discuss issues such as your performance, goals, training and development?
4.B.2.b	Roles	Characteristics of job incumbents' roles, such as the extent to which they involve conflict and overload
4.B.2.b.1	Role Conflict	The extent to which an individual has to deal with conflicting demands
4.B.2.b.1.a	Often Receive Conflicting Requests	You often receive conflicting requests from two or more people at work.
4.B.2.b.1.b	Work With Groups With Different Focuses	You work with two or more groups who want you to focus on different things.
4.B.2.b.1.c	You and Your Supervisor Agree About Job	You and your supervisor agree about what your job should be.
4.B.2.b.1.d	Supervisor Makes Conflicting Requests	Your supervisor often asks you to do two or more things that conflict (for example, save a large amount of money while at the same time dramatically increasing quality).
4.B.2.b.2	Role Negotiability	The extent to which an individual can negotiate his/her role in an organization
4.B.2.b.2.a	Negotiate Changes in Role with Supervisor	You have negotiated changes in the nature of your role at work with your supervisor.
4.B.2.b.2.b	Significant Input Into Way You Do Job	You have significant input into the way you do your job.
4.B.2.b.3	Role Overload	A discrepancy between the job's demands and one's ability to meet those demands
4.B.2.b.3.a	Get Assignments without Adequate Resources	You receive assignments at work without adequate resources and materials to complete them properly.
4.B.2.b.3.b	Given Enough Time to Do Work	You are given enough time to do what is expected of you at work.
4.B.2.b.3.c	Too Much for One Person to Do	It often seems like you have too much work for one person to do.
4.B.2.c	Culture	Patterns of behaviors and social relationships reflecting the assumptions, values, norms, and artifacts shared by members of the organization
4.B.2.c.1	Organizational Values	Indicates the importance of different organizational values such as tradition, stability, innovation, and collaboration
4.B.2.c.1.a	Guiding Principles of Organization	How important are each of the following concepts, or values, as a guiding principle for your organization as a whole.
4.B.2.c.1.a.1	Taking Chances; Going Out on a Limb	Taking chances; going out on a limb
4.B.2.c.1.a.2	Fairness; Justice	Fairness; justice
4.B.2.c.1.a.3	Precision	Precision; paying attention to even the smallest details
4.B.2.c.1.a.4	Stability	Stability; keeping things on an even keel
4.B.2.c.1.a.5	Getting Things Done	Getting things done; taking decisive or quick action
4.B.2.c.1.a.6	Caring About Employees	Caring about employees; showing concern for their well-being
4.B.2.c.1.a.7	Innovation	Innovation; finding new and better ways of doing things; openness to new ideas
4.B.2.c.1.a.8	Aggressiveness	Aggressiveness; forcefully going after what you want
4.B.2.c.1.a.9	Valuing Customers	Valuing customers; emphasizing customer service
4.B.2.c.1.a.10	Providing High Quality Products	Providing high quality products or services; meeting high standards of excellence
4.B.2.c.1.a.11	Openness and Honesty	Openness; honesty; keeping employees well informed
4.B.2.c.1.a.12	Flexibility, Adapting to Change	Flexibility, adapting to change
4.B.2.d	Supervisor Role	The nature of supervisory leadership
4.B.2.d.1	Supervisor Friendly and Supportive	To what extent does your supervisor act in a friendly and supportive manner? For example, does he/she show concern for members of your work group and respect for your ideas?
4.B.2.d.2	Supervisor Takes Active Role	To what extent does your supervisor take an active role in directing your work group's activities by setting goals, planning and scheduling work, assigning tasks, and making sure that each person knows what he/she should be doing?
4.B.2.d.3	Supervisor Provides Clear Vision	To what extent does your supervisor provide members of your work group with a clear vision of where the group is going and keep everyone fully committed to the work at hand?
4.B.2.d.4	Supervisor Solves Problems	To what extent does your supervisor quickly and effectively solve problems, even difficult problems, that come up in your work group?
4.C	Work Context	Physical and social factors that influence the nature of work
4.C.1	Interpersonal Relationships	This category describes the context of the job in terms of human interaction processes
4.C.1.a	Communication	Types and frequency of interactions with other people that are required as part of this job.
4.C.1.a.2	Communication Methods	How frequently does this job require the use of the following communication methods?
4.C.1.a.2.c	Public Speaking	How often do you have to perform public speaking in this job?
4.C.1.a.2.f	Telephone	How often do you have telephone conversations in this job?
4.C.1.a.2.h	Electronic Mail	How often do you use electronic mail in this job?
4.C.1.a.2.j	Letters and Memos	How often does the job require written letters and memos?
4.C.1.a.2.l	Face-to-Face Discussions	How often do you have to have face-to-face discussions with individuals or teams in this job?
4.C.1.a.4	Contact With Others	How much does this job require the worker to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?
4.C.1.b	Role Relationships	Importance of different types of interactions with others both inside and outside the organization
4.C.1.b.1	Job Interactions	How important are interactions requiring the worker to:
4.C.1.b.1.e	Work With Work Group or Team	How important is it to work with others in a group or team in this job?
4.C.1.b.1.f	Deal With External Customers	How important is it to work with external customers or the public in this job?
4.C.1.b.1.g	Coordinate or Lead Others	How important is it to coordinate or lead others in accomplishing work activities in this job?
4.C.1.c	Responsibility for Others	Amount of responsibility the worker has for other workers as a part of this job
4.C.1.c.1	Responsible for Others' Health and Safety	How much responsibility is there for the health and safety of others in this job?
4.C.1.c.2	Responsibility for Outcomes and Results	How responsible is the worker for work outcomes and results of other workers?
4.C.1.d	Conflictual Contact	Amount of conflict that the worker will encounter as part of this job
4.C.1.d.1	Frequency of Conflict Situations	How often are there conflict situations the employee has to face in this job?
4.C.1.d.2	Deal With Unpleasant or Angry People	How frequently does the worker have to deal with unpleasant, angry, or discourteous individuals as part of the job requirements?
4.C.1.d.3	Deal With Physically Aggressive People	How frequently does this job require the worker to deal with physical aggression of violent individuals?
4.C.2	Physical Work Conditions	This category describes the work context as it relates to the interactions between the worker and the physical job environment
4.C.2.a	Work Setting	Description of physical surroundings that the worker will face as part of this job
4.C.2.a.1	Frequency Required to Work:	How frequently does this job require the worker to work:
4.C.2.a.1.a	Indoors, Environmentally Controlled	How often does this job require working indoors in environmentally controlled conditions?
4.C.2.a.1.b	Indoors, Not Environmentally Controlled	How often does this job require working indoors in non-controlled environmental conditions (e.g., warehouse without heat)?
4.C.2.a.1.c	Outdoors, Exposed to Weather	How often does this job require working outdoors, exposed to all weather conditions?
4.C.2.a.1.d	Outdoors, Under Cover	How often does this job require working outdoors, under cover (e.g., structure with roof but no walls)?
4.C.2.a.1.e	In an Open Vehicle or Equipment	How often does this job require working in an open vehicle or equipment (e.g., tractor)?
4.C.2.a.1.f	In an Enclosed Vehicle or Equipment	How often does this job require working in a closed vehicle or equipment (e.g., car)?
4.C.2.a.3	Physical Proximity	To what extent does this job require the worker to perform job tasks in close physical proximity to other people?
4.C.2.b	Environmental Conditions	Description of extreme environmental conditions the worker will be placed in as part of this job
4.C.2.b.1	Frequency in Environmental Conditions	How often during a usual work period is the worker exposed to the following conditions:
4.C.2.b.1.a	Sounds, Noise Levels Are Distracting or Uncomfortable	How often does this job require working exposed to sounds and noise levels that are distracting or uncomfortable?
4.C.2.b.1.b	Very Hot or Cold Temperatures	How often does this job require working in very hot (above 90 F degrees) or very cold (below 32 F degrees) temperatures?
4.C.2.b.1.c	Extremely Bright or Inadequate Lighting	How often does this job require working in extremely bright or inadequate lighting conditions?
4.C.2.b.1.d	Exposed to Contaminants	How often does this job require working exposed to contaminants (such as pollutants, gases, dust or odors)?
4.C.2.b.1.e	Cramped Work Space, Awkward Positions	How often does this job require working in cramped work spaces that requires getting into awkward positions?
4.C.2.b.1.f	Exposed to Whole Body Vibration	How often does this job require exposure to whole body vibration (e.g., operate a jackhammer)?
4.C.2.c	Job Hazards	Descriptions of types of hazardous conditions the worker could be exposed to as part of this job. This includes the frequency of exposure, and the likelihood and degree of injury if exposed.
4.C.2.c.1	Frequency of Exposure to Job Hazards	How often does this job require the worker to be exposed to the following hazards?
4.C.2.c.1.a	Exposed to Radiation	How often does this job require exposure to radiation?
4.C.2.c.1.b	Exposed to Disease or Infections	How often does this job require exposure to disease/infections?
4.C.2.c.1.c	Exposed to High Places	How often does this job require exposure to high places?
4.C.2.c.1.d	Exposed to Hazardous Conditions	How often does this job require exposure to hazardous conditions?
4.C.2.c.1.e	Exposed to Hazardous Equipment	How often does this job require exposure to hazardous equipment?
4.C.2.c.1.f	Exposed to Minor Burns, Cuts, Bites, or Stings	How often does this job require exposure to minor burns, cuts, bites, or stings?
4.C.2.c.2	Likelihood of Injury From Job Hazards	What is the likelihood that the worker would be injured as a result of being exposed to the following hazards while performing this job?
4.C.2.c.3	Degree of Injury	If injury, due to exposure to the following hazards, were to occur while performing this job, how serious would be the likely outcome?
4.C.2.d	Body Positioning	Amount of time the worker will spend in a variety of physical positions on this job
4.C.2.d.1	Time Spent in Body Positions	How much time in a usual work period does the worker spend:
4.C.2.d.1.a	Spend Time Sitting	How much does this job require sitting?
4.C.2.d.1.b	Spend Time Standing	How much does this job require standing?
4.C.2.d.1.c	Spend Time Climbing Ladders, Scaffolds, or Poles	How much does this job require climbing ladders, scaffolds, or poles?
4.C.2.d.1.d	Spend Time Walking and Running	How much does this job require walking and running?
4.C.2.d.1.e	Spend Time Kneeling, Crouching, Stooping, or Crawling	How much does this job require kneeling, crouching, stooping or crawling?
4.C.2.d.1.f	Spend Time Keeping or Regaining Balance	How much does this job require keeping or regaining your balance?
4.C.2.d.1.g	Spend Time Using Your Hands to Handle, Control, or Feel Objects, Tools, or Controls	How much does this job require using your hands to handle, control, or feel objects, tools or controls?
4.C.2.d.1.h	Spend Time Bending or Twisting the Body	How much does this job require bending or twisting your body?
4.C.2.d.1.i	Spend Time Making Repetitive Motions	How much does this job require making repetitive motions?
4.C.2.e	Work Attire	Dress requirements of this job
4.C.2.e.1	Frequency of Wearing Work Attire	How often does the worker wear:
4.C.2.e.1.d	Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets	How much does this job require wearing common protective or safety equipment such as safety shoes, glasses, gloves, hard hats or life jackets?
4.C.2.e.1.e	Wear Specialized Protective or Safety Equipment such as Breathing Apparatus, Safety Harness, Full Protection Suits, or Radiation Protection	How much does this job require wearing specialized protective or safety equipment such as breathing apparatus, safety harness, full protection suits, or radiation protection?
4.C.3	Structural Job Characteristics	This category involves the relationships or interactions between the worker and the structural characteristics of the job
4.C.3.a	Criticality of Position	Amount of impact the worker has on final products and their outcomes
4.C.3.a.1	Consequence of Error	How serious would the result usually be if the worker made a mistake that was not readily correctable?
