NASA Class Code,NASA Specialty Title,NCC,OPM Series Title,OPMSeries,OPM,NCC GRP NUM,NCC Group,Skill Mix Group,OPM SERIES NUMBER,OPM SERIES TITLE ,SUPERVISORY FEDERAL SECTOR JOB GROUP,NON-SUPERVISORY FEDERAL SECTOR JOB GROUP,2010 SOC CODE,2010 EEO TABULATION (CENSUS) CODE,2010 EEO TABULATION (CENSUS) OCCUPATION TITLE,
695-00,Expert (Administrative),695-00 Expert (Administrative),Expert (Administrative),GS-0301-0,GS-0301-0 Expert (Administrative),695,Misc Specialty,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
696-00,Consultant (Administrative),696-00 Consultant (Administrative),Consultant (Administrative),GS-0301-0,GS-0301-0 Consultant (Administrative),696,Misc Specialty,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
699-01,International Relations Specialist,699-01 International Relations Specialist,International Relations Specialist,GS-0301-0,GS-0301-0 International Relations Specialist,699,Misc Specialty,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
699-08,Community Relations Specialist,699-08 Community Relations Specialist,Community Relations Specialist,GS-0301-0,GS-0301-0 Community Relations Specialist,699,Misc Specialty,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
699-12,Presidential Management Fellow,699-12 Presidential Management Fellow,Presidential Management Fellow,GS-0301-0,GS-0301-0 Presidential Management Fellow,699,Misc Specialty,PROF ADMIN,301,MISCELLANEOUS ADMINISTRATION & PROGRAM,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
502-01,Messenger,502-01 Messenger,Messenger,GS-0302-0,GS-0302-0 Messenger,502,Misc Clerical/Assistant,CLERICAL,302,MESSENGER ,1,5,43-5021,5510,COURIERS & MESSENGERS,
501-01,Clerk,501-01 Clerk,Clerk,GS-0303-0,GS-0303-0 Clerk,501,Misc Clerical/Assistant,CLERICAL,303,MISCELLANEOUS CLERK & ASSISTANT,1,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",
501-03,Administrative Support Assistant,501-03 Administrative Support Assistant,Administrative Support Assistant,GS-0303-0,GS-0303-0 Administrative Support Assistant,501,Misc Clerical/Assistant,CLERICAL,303,MISCELLANEOUS CLERK & ASSISTANT,1,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",
510-05,Resources Assistant,510-05 Resources Assistant,Resources Assistant,GS-0303-0,GS-0303-0 Resources Assistant,510,Specialized Admin Clerical,CLERICAL,303,MISCELLANEOUS CLERK & ASSISTANT,1,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",
527-01,Management Support Clerk,527-01 Management Support Clerk,Management Support Clerk,GS-0303-0,GS-0303-0 Management Support Clerk,527,Office Assistant and Secretarial,CLERICAL,303,MISCELLANEOUS CLERK & ASSISTANT,1,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",
527-02,Management Support Assistant,527-02 Management Support Assistant,Management Support Assistant,GS-0303-0,GS-0303-0 Management Support Assistant,527,Office Assistant and Secretarial,CLERICAL,303,MISCELLANEOUS CLERK & ASSISTANT,1,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",
527-03,Executive Support Assistant,527-03 Executive Support Assistant,Executive Support Assistant,GS-0303-0,GS-0303-0 Executive Support Assistant,527,Office Assistant and Secretarial,CLERICAL,303,MISCELLANEOUS CLERK & ASSISTANT,1,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",
503-01,Information Receptionist,503-01 Information Receptionist,Information Receptionist,GS-0304-0,GS-0304-0 Information Receptionist,503,Misc Clerical/Assistant,CLERICAL,304,INFORMATION RECEPTIONIST ,1,5,43-4171,5400,RECEPTIONISTS & INFORMATION CLERKS,
504-01,Mail and File Clerk,504-01 Mail and File Clerk,Mail and File Clerk,GS-0305-0,GS-0305-0 Mail and File Clerk,504,Misc Clerical/Assistant,CLERICAL,305,MAIL & FILE ,1,5,43-9051,5850,"MAIL CLERKS & MAIL MACHINE OPERATORS, EXCEPT POSTAL SERVICE",
504-02,Mail Clerk,504-02 Mail Clerk,Mail Clerk,GS-0305-0,GS-0305-0 Mail Clerk,504,Misc Clerical/Assistant,CLERICAL,305,MAIL & FILE ,1,5,43-9051,5850,"MAIL CLERKS & MAIL MACHINE OPERATORS, EXCEPT POSTAL SERVICE",
504-03,File Clerk,504-03 File Clerk,File Clerk,GS-0305-0,GS-0305-0 File Clerk,504,Misc Clerical/Assistant,CLERICAL,305,MAIL & FILE ,1,5,43-9051,5850,"MAIL CLERKS & MAIL MACHINE OPERATORS, EXCEPT POSTAL SERVICE",
504-04,Mail and File Assistant,504-04 Mail and File Assistant,Mail and File Assistant,GS-0305-0,GS-0305-0 Mail and File Assistant,504,Misc Clerical/Assistant,CLERICAL,305,MAIL & FILE ,1,5,43-9051,5850,"MAIL CLERKS & MAIL MACHINE OPERATORS, EXCEPT POSTAL SERVICE",
644-03,Government Information Specialist (FOIA),644-03 Government Information Specialist (FOIA),Government Information Specialist (FOIA),GS-0306-0,GS-0306-0 Government Information Specialist (FOIA),644,Public Affairs,PROF ADMIN,306,GOVERNMENT INFORMATION,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
656-01,INFORMATION MANAGEME,656-01 INFORMATION MANAGEME,INFORMATION MANAGEME,GS-0308,GS-0308 INFORMATION MANAGEME,656,Technical Communications,PROF ADMIN,308,RECORDS AND INFORMATION MANAGEMENT,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
505-01,Correspondence Clerk,505-01 Correspondence Clerk,Correspondence Clerk,GS-0309-0,GS-0309-0 Correspondence Clerk,505,Misc Clerical/Assistant,CLERICAL,309,CORRESPONDENCE CLERK,1,5,43-4XXX,5350,CORRESPONDENCE CLERKS & ORDER CLERKS,
521-01,Work Unit Supervisor,521-01 Work Unit Supervisor,Work Unit Supervisor,GS-0313-0,GS-0313-0 Work Unit Supervisor,521,Office Assistant and Secretarial,CLERICAL,313,WORK UNIT SUPERVISING ,1,5,43-1011,5000,FIRST-LINE SUPERVISORS OF OFFICE & ADMINISTRATIVE SUPPORT WORKERS,
520-01,Secretary,520-01 Secretary,Secretary,GS-0318-0,GS-0318-0 Secretary,520,Office Assistant and Secretarial,CLERICAL,318,SECRETARY ,1,5,43-6010,5700,SECRETARIES & ADMINISTRATIVE ASSISTANTS,
520-02,Secretary (Stenography),520-02 Secretary (Stenography),Secretary (Stenography),GS-0318-0,GS-0318-0 Secretary (Stenography),520,Office Assistant and Secretarial,CLERICAL,318,SECRETARY ,1,5,43-6010,5700,SECRETARIES & ADMINISTRATIVE ASSISTANTS,
520-03,Secretary (Typing),520-03 Secretary (Typing),Secretary (Typing),GS-0318-0,GS-0318-0 Secretary (Typing),520,Office Assistant and Secretarial,CLERICAL,318,SECRETARY ,1,5,43-6010,5700,SECRETARIES & ADMINISTRATIVE ASSISTANTS,
520-05,Secretary (Stenography/Office Automation),520-05 Secretary (Stenography/Office Automation),Secretary (Stenography/Office Automation),GS-0318-0,GS-0318-0 Secretary (Stenography/Office Automation),520,Office Assistant and Secretarial,CLERICAL,318,SECRETARY ,1,5,43-6010,5700,SECRETARIES & ADMINISTRATIVE ASSISTANTS,
520-06,Secretary (Office Automation),520-06 Secretary (Office Automation),Secretary (Office Automation),GS-0318-0,GS-0318-0 Secretary (Office Automation),520,Office Assistant and Secretarial,CLERICAL,318,SECRETARY ,1,5,43-6010,5700,SECRETARIES & ADMINISTRATIVE ASSISTANTS,
525-01,Closed Microphone Reporter,525-01 Closed Microphone Reporter,Closed Microphone Reporter,GS-0319-0,GS-0319-0 Closed Microphone Reporter,525,Office Assistant and Secretarial,CLERICAL,319,CLOSED MICROPHONE REPORTER,1,5,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS,
524-01,Clerk-Typist,524-01 Clerk-Typist,Clerk-Typist,GS-0322-0,GS-0322-0 Clerk-Typist,524,Office Assistant and Secretarial,CLERICAL,322,CLERK-TYPIST,1,5,43-9022,5820,WORD PROCESSORS & TYPISTS,
526-01,Office Automation Clerk,526-01 Office Automation Clerk,Office Automation Clerk,GS-0326-0,GS-0326-0 Office Automation Clerk,526,Office Assistant and Secretarial,CLERICAL,326,OFFICE AUTOMATION CLERICAL & ASSISTANCE,1,5,43-9022,5820,WORD PROCESSORS & TYPISTS,
526-02,Office Automation Assistant,526-02 Office Automation Assistant,Office Automation Assistant,GS-0326-0,GS-0326-0 Office Automation Assistant,526,Office Assistant and Secretarial,CLERICAL,326,OFFICE AUTOMATION CLERICAL & ASSISTANCE,1,5,43-9022,5820,WORD PROCESSORS & TYPISTS,
534-01,Computer Operator,534-01 Computer Operator,Computer Operator,GS-0332-0,GS-0332-0 Computer Operator,534,Office Maching Ops,CLERICAL,332,COMPUTER OPERATION,1,5,43-9011,5800,COMPUTER OPERATORS,
516-01,Computer Assistant,516-01 Computer Assistant,Computer Assistant,GS-0335-0,GS-0335-0 Computer Assistant,516,Specialized Admin Clerical,CLERICAL,335,COMPUTER CLERK & ASSISTANT ,1,5*,43-9011,5800,COMPUTER OPERATORS,
677-04,Program Manager,677-04 Program Manager,Program Manager,GS-0340-0,GS-0340-0 Program Manager,677,Management and Supporting Ops,PROF ADMIN,340,PROGRAM MANAGEMENT ,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
601-02,Administrative Officer,601-02 Administrative Officer,Administrative Officer,GS-0341-0,GS-0341-0 Administrative Officer,601,Administrative,PROF ADMIN,341,ADMINISTRATIVE OFFICER ,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
601-08,Administrative Assistant,601-08 Administrative Assistant,Administrative Assistant,GS-0341-0,GS-0341-0 Administrative Assistant,601,Administrative,PROF ADMIN,341,ADMINISTRATIVE OFFICER ,1,2,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",
601-06,Support Services Specialist,601-06 Support Services Specialist,Support Services Specialist,GS-0342-0,GS-0342-0 Support Services Specialist,601,Administrative,PROF ADMIN,342,SUPPORT SERVICES ADMINISTRATION ,1,2*,Nov-11,100,ADMINISTRATIVE SERVICES MANAGERS,
602-01,Program Analyst,602-01 Program Analyst,Program Analyst,GS-0343-0,GS-0343-0 Program Analyst,602,Administrative,PROF ADMIN,343,MANAGEMENT & PROGRAM ANALYSIS,1,2,13-1111,710,MANAGEMENT ANALYSTS,
602-02,Program Analysis Officer,602-02 Program Analysis Officer,Program Analysis Officer,GS-0343-0,GS-0343-0 Program Analysis Officer,602,Administrative,PROF ADMIN,343,MANAGEMENT & PROGRAM ANALYSIS,1,2,13-1111,710,MANAGEMENT ANALYSTS,
603-01,Management Analyst,603-01 Management Analyst,Management Analyst,GS-0343-0,GS-0343-0 Management Analyst,603,Administrative,PROF ADMIN,343,MANAGEMENT & PROGRAM ANALYSIS,1,2,13-1111,710,MANAGEMENT ANALYSTS,
603-02,Management and Program Analyst,603-02 Management and Program Analyst,Management and Program Analyst,GS-0343-0,GS-0343-0 Management and Program Analyst,603,Administrative,PROF ADMIN,343,MANAGEMENT & PROGRAM ANALYSIS,1,2,13-1111,710,MANAGEMENT ANALYSTS,
603-03,Management Analysis Officer,603-03 Management Analysis Officer,Management Analysis Officer,GS-0343-0,GS-0343-0 Management Analysis Officer,603,Administrative,PROF ADMIN,343,MANAGEMENT & PROGRAM ANALYSIS,1,2,13-1111,710,MANAGEMENT ANALYSTS,
603-04,Management and Program Analysis Officer,603-04 Management and Program Analysis Officer,Management and Program Analysis Officer,GS-0343-0,GS-0343-0 Management and Program Analysis Officer,603,Administrative,PROF ADMIN,343,MANAGEMENT & PROGRAM ANALYSIS,1,2,13-1111,710,MANAGEMENT ANALYSTS,
551-01,Management Assistant,551-01 Management Assistant,Management Assistant,GS-0344-0,GS-0344-0 Management Assistant,551,Office Methods Support,CLERICAL,344,MANAGEMENT & PROGRAM CLERICAL & ASSISTANCE,1,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",
551-03,Program Assistant,551-03 Program Assistant,Program Assistant,GS-0344-0,GS-0344-0 Program Assistant,551,Office Methods Support,CLERICAL,344,MANAGEMENT & PROGRAM CLERICAL & ASSISTANCE,1,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",
551-04,Management and Program Assistant,551-04 Management and Program Assistant,Management and Program Assistant,GS-0344-0,GS-0344-0 Management and Program Assistant,551,Office Methods Support,CLERICAL,344,MANAGEMENT & PROGRAM CLERICAL & ASSISTANCE,1,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",
551-05,Management and Program Assistant (OA),551-05 Management and Program Assistant (OA),Management and Program Assistant (OA),GS-0344-0,GS-0344-0 Management and Program Assistant (OA),551,Office Methods Support,CLERICAL,344,MANAGEMENT & PROGRAM CLERICAL & ASSISTANCE,1,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",
699-11,Logistics Management Specialist,699-11 Logistics Management Specialist,Logistics Management Specialist,GS-0346-0,GS-0346-0 Logistics Management Specialist,699,Misc Specialty,PROF ADMIN,346,LOGISTICS MANAGEMENT ,1,2,13-1081,700,LOGISTICIANS,
531-01,Equipment Operator,531-01 Equipment Operator,Equipment Operator,GS-0350-0,GS-0350-0 Equipment Operator,531,Office Maching Ops,CLERICAL,350,EQUIPMENT OPERATOR,1,5,43-9071,5900,"OFFICE MACHINE OPERATORS, EXCEPT COMPUTERS",
536-01,Data Transcriber,536-01 Data Transcriber,Data Transcriber,GS-0356-0,GS-0356-0 Data Transcriber,536,Office Maching Ops,CLERICAL,356,DATA TRANSCRIBER,1,5,43-9021,5810,DATA ENTRY KEYERS,
645-04,Equal Opportunity Specialist,645-04 Equal Opportunity Specialist,Equal Opportunity Specialist,GS-0360-0,GS-0360-0 Equal Opportunity Specialist,645,EO and Social Scientist,PROF ADMIN,360,EQUAL OPPORTUNITY COMPLIANCE,1,2,13-1041,565,COMPLIANCE OFFICERS,
510-06,Equal Opportunity Assistant,510-06 Equal Opportunity Assistant,Equal Opportunity Assistant,GS-0361-0,GS-0361-0 Equal Opportunity Assistant,510,Specialized Admin Clerical,CLERICAL,361,EQUAL OPPORTUNITY ASSISTANCE,1,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",
605-15,Telecommunications Specialist,605-15 Telecommunications Specialist,Telecommunications Specialist,GS-0391-0,GS-0391-0 Telecommunications Specialist,605,IT,PROF ADMIN,391,TELECOMMUNICATIONS,1,3,27-40XX,2900,"BROADCAST & SOUND ENGINEERING TECHNICIANS AND RADIO OPERATORS, AND MEDIA AND COMMUNICATION EQUIPMENT WORKERS, ALL OTHER#",
605-16,Telecommunications Manager,605-16 Telecommunications Manager,Telecommunications Manager,GS-0391-0,GS-0391-0 Telecommunications Manager,605,IT,PROF ADMIN,391,TELECOMMUNICATIONS,1,3,27-40XX,2900,"BROADCAST & SOUND ENGINEERING TECHNICIANS AND RADIO OPERATORS, AND MEDIA AND COMMUNICATION EQUIPMENT WORKERS, ALL OTHER#",
519-10,Communications Clerk,519-10 Communications Clerk,Communications Clerk,GS-0394-0,GS-0394-0 Communications Clerk,519,Specialized Admin Clerical,CLERICAL,394,COMMUNICATIONS CLERICAL ,1,5,43-2099,5030,"COMMUNICATIONS EQUIPMENT OPERATORS, ALL OTHER",
540-03,Student Trainee (Administrative),540-03 Student Trainee (Administrative),Student Trainee (Administrative),GS-0399-0,GS-0399-0 Student Trainee (Administrative),540,Student Trainee Admin,CLERICAL,399,ADMINISTRATION & OFFICE SUPPORT STUDENT TRAINEE,1,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",
540-23,Student Trainee (Office Support),540-23 Student Trainee (Office Support),Student Trainee (Office Support),GS-0399-0,GS-0399-0 Student Trainee (Office Support),540,Student Trainee Admin,CLERICAL,399,ADMINISTRATION & OFFICE SUPPORT STUDENT TRAINEE,1,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",
699-91,Student Trainee (General),699-91 Student Trainee (General),Student Trainee (General),GS-0399-0,GS-0399-0 Student Trainee (General),699,Misc Specialty,PROF ADMIN,399,ADMINISTRATION & OFFICE SUPPORT STUDENT TRAINEE,1,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",
699-99,Student Trainee (Administrative),699-99 Student Trainee (Administrative),Student Trainee (Administrative),GS-0399-0,GS-0399-0 Student Trainee (Administrative),699,Misc Specialty,PROF ADMIN,399,ADMINISTRATION & OFFICE SUPPORT STUDENT TRAINEE,1,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS",
906-01,Biological Scientist,906-01 Biological Scientist,Biological Scientist,GS-0401-0,GS-0401-0 Biological Scientist,906,Life Sciences,S&E,401,GENERAL NATURAL RESOURCES MANAGEMENT AND BIOLOGICAL SCIENCES,1,2,19-1020,1610,BIOLOGICAL SCIENTISTS,
906-02,Microbiologist,906-02 Microbiologist,Microbiologist,GS-0403-0,GS-0403-0 Microbiologist,906,Life Sciences,S&E,403,MICROBIOLOGY,1,2,19-1020,1610,BIOLOGICAL SCIENTISTS,
331-02,Biological Science Aid,331-02 Biological Science Aid,Biological Science Aid,GS-0404,GS-0404 Biological Science Aid,331,Misc Tech,TECH,404,BIOLOGICAL SCIENCE TECHNICIAN,1,3,19-4021,1910,BIOLOGICAL TECHNICIANS,
331-04,Biological Science Technician,331-04 Biological Science Technician,Biological Science Technician,GS-0404,GS-0404 Biological Science Technician,331,Misc Tech,TECH,404,BIOLOGICAL SCIENCE TECHNICIAN,1,3,19-4021,1910,BIOLOGICAL TECHNICIANS,
906-03,Ecologist,906-03 Ecologist,Ecologist,GS-0408-0,GS-0408-0 Ecologist,906,Life Sciences,S&E,408,ECOLOGY,1,2,19-1030,1640,CONSERVATION SCIENTISTS & FORESTERS,
912-01,Zoologist,912-01 Zoologist,Zoologist,GS-0410-0,GS-0410-0 Zoologist,912,Life Sciences,S&E,410,ZOOLOGY,1,2,19-1020,1610,BIOLOGICAL SCIENTISTS,
907-01,Physiologist,907-01 Physiologist,Physiologist,GS-0413-0,GS-0413-0 Physiologist,907,Life Sciences,S&E,413,PHYSIOLOGY,1,2,19-10XX,1650,"MEDICAL SCIENTISTS, & LIFE SCIENTISTS, ALL OTHER",
913-01,Botanist,913-01 Botanist,Botanist,GS-0430-0,GS-0430-0 Botanist,913,Life Sciences,S&E,430,BOTANY,1,2,19-1010,1600,AGRICULTURAL & FOOD SCIENTISTS,
913-02,Plant Physiologist,913-02 Plant Physiologist,Plant Physiologist,GS-0435-0,GS-0435-0 Plant Physiologist,913,Life Sciences,S&E,435,PLANT PHYSIOLOGY,1,2,19-1010,1600,AGRICULTURAL & FOOD SCIENTISTS,
281-01,Agronomist,281-01 Agronomist,Agronomist,GS-0471,GS-0471 Agronomist,281,S&E Non-AST,S&E,471,AGRONOMY,1,2,19-1010,1600,AGRICULTURAL & FOOD SCIENTISTS,
340-03,Student Trainee (Biological Sciences),340-03 Student Trainee (Biological Sciences),Student Trainee (Biological Sciences),GS-0499,GS-0499 Student Trainee (Biological Sciences),340,Student Trainee Tech,TECH,499,BIOLOGICAL SCIENCE STUDENT TRAINEE,1,3*,19-1020,1610,BIOLOGICAL SCIENTISTS,
624-01,Resources Analyst,624-01 Resources Analyst,Resources Analyst,GS-0501-0,GS-0501-0 Resources Analyst,624,Financial and Resources,PROF ADMIN,501,FINANCIAL ADMINISTRATION & PROGRAM,1,2,13-2099,950,"FINANCIAL SPECIALISTS, ALL OTHER",
624-02,Financial Management Specialist,624-02 Financial Management Specialist,Financial Management Specialist,GS-0501-0,GS-0501-0 Financial Management Specialist,624,Financial and Resources,PROF ADMIN,501,FINANCIAL ADMINISTRATION & PROGRAM,1,2,13-2099,950,"FINANCIAL SPECIALISTS, ALL OTHER",
624-03,Resources Manager,624-03 Resources Manager,Resources Manager,GS-0501-0,GS-0501-0 Resources Manager,624,Financial and Resources,PROF ADMIN,501,FINANCIAL ADMINISTRATION & PROGRAM,1,2,13-2099,950,"FINANCIAL SPECIALISTS, ALL OTHER",
624-04,Resources Executive,624-04 Resources Executive,Resources Executive,GS-0501-0,GS-0501-0 Resources Executive,624,Financial and Resources,PROF ADMIN,501,FINANCIAL ADMINISTRATION & PROGRAM,1,2,13-2099,950,"FINANCIAL SPECIALISTS, ALL OTHER",
560-01,Financial Technician,560-01 Financial Technician,Financial Technician,GS-0503-0,GS-0503-0 Financial Technician,560,Accounting and Budget Clerk,CLERICAL,503,FINANCIAL CLERICAL & TECHNICIAN,1,5,43-3031,5120,"BOOKKEEPING, ACCOUNTING, & AUDITING CLERKS",
560-02,Financial Clerk,560-02 Financial Clerk,Financial Clerk,GS-0503-0,GS-0503-0 Financial Clerk,560,Accounting and Budget Clerk,CLERICAL,503,FINANCIAL CLERICAL & TECHNICIAN,1,5,43-3031,5120,"BOOKKEEPING, ACCOUNTING, & AUDITING CLERKS",
620-01,Financial Manager,620-01 Financial Manager,Financial Manager,GS-0505-0,GS-0505-0 Financial Manager,620,Financial and Resources,PROF ADMIN,505,FINANCIAL MANAGEMENT,1,2,13-2099,950,"FINANCIAL SPECIALISTS, ALL OTHER",
621-01,Accountant,621-01 Accountant,Accountant,GS-0510-0,GS-0510-0 Accountant,621,Financial and Resources,PROF ADMIN,510,ACCOUNTING ,1,2,13-2011,800,ACCOUNTANTS & AUDITORS,
621-02,System Accountant,621-02 System Accountant,System Accountant,GS-0510-0,GS-0510-0 System Accountant,621,Financial and Resources,PROF ADMIN,510,ACCOUNTING ,1,2,13-2011,800,ACCOUNTANTS & AUDITORS,
621-03,Cost Accountant,621-03 Cost Accountant,Cost Accountant,GS-0510-0,GS-0510-0 Cost Accountant,621,Financial and Resources,PROF ADMIN,510,ACCOUNTING ,1,2,13-2011,800,ACCOUNTANTS & AUDITORS,
621-04,Staff Accountant,621-04 Staff Accountant,Staff Accountant,GS-0510-0,GS-0510-0 Staff Accountant,621,Financial and Resources,PROF ADMIN,510,ACCOUNTING ,1,2,13-2011,800,ACCOUNTANTS & AUDITORS,
621-05,Accounting Officer,621-05 Accounting Officer,Accounting Officer,GS-0510-0,GS-0510-0 Accounting Officer,621,Financial and Resources,PROF ADMIN,510,ACCOUNTING ,1,2,13-2011,800,ACCOUNTANTS & AUDITORS,
622-01,Auditor,622-01 Auditor,Auditor,GS-0511-0,GS-0511-0 Auditor,622,Financial and Resources,PROF ADMIN,511,AUDITING ,1,2,13-2011,800,ACCOUNTANTS & AUDITORS,
561-01,Accounts Maintenance Clerk,561-01 Accounts Maintenance Clerk,Accounts Maintenance Clerk,GS-0525-0,GS-0525-0 Accounts Maintenance Clerk,561,Accounting and Budget Clerk,CLERICAL,525,ACCOUNTING TECHNICIAN ,1,5,43-3031,5120,"BOOKKEEPING, ACCOUNTING, & AUDITING CLERKS",
562-01,Accounting Technician,562-01 Accounting Technician,Accounting Technician,GS-0525-0,GS-0525-0 Accounting Technician,562,Accounting and Budget Clerk,CLERICAL,525,ACCOUNTING TECHNICIAN ,1,5,43-3031,5120,"BOOKKEEPING, ACCOUNTING, & AUDITING CLERKS",
563-01,Cashier,563-01 Cashier,Cashier,GS-0530-0,GS-0530-0 Cashier,563,Accounting and Budget Clerk,CLERICAL,530,CASH PROCESSING ,1,4,41-2010,4720,CASHIERS,
564-01,Voucher Examiner,564-01 Voucher Examiner,Voucher Examiner,GS-0540-0,GS-0540-0 Voucher Examiner,564,Accounting and Budget Clerk,CLERICAL,540,VOUCHER EXAMINING,1,5,43-3031,5120,"BOOKKEEPING, ACCOUNTING, & AUDITING CLERKS",
565-01,Civilian Pay Technician,565-01 Civilian Pay Technician,Civilian Pay Technician,GS-0544-0,GS-0544-0 Civilian Pay Technician,565,Accounting and Budget Clerk,CLERICAL,544,CIVILIAN PAY,1,5,43-3051,5140,PAYROLL & TIMEKEEPING CLERKS,
623-01,Budget Analyst,623-01 Budget Analyst,Budget Analyst,GS-0560-0,GS-0560-0 Budget Analyst,623,Financial and Resources,PROF ADMIN,560,BUDGET ANALYSIS ,1,2,13-2031,820,BUDGET ANALYSTS,
623-02,Budget Officer,623-02 Budget Officer,Budget Officer,GS-0560-0,GS-0560-0 Budget Officer,623,Financial and Resources,PROF ADMIN,560,BUDGET ANALYSIS ,1,2,13-2031,820,BUDGET ANALYSTS,
560-03,Budget Technician,560-03 Budget Technician,Budget Technician,GS-0561-0,GS-0561-0 Budget Technician,560,Accounting and Budget Clerk,CLERICAL,561,BUDGET CLERICAL & ASSISTANCE,1,5,43-3031,5120,"BOOKKEEPING, ACCOUNTING, & AUDITING CLERKS",
560-04,Budget Clerk,560-04 Budget Clerk,Budget Clerk,GS-0561-0,GS-0561-0 Budget Clerk,560,Accounting and Budget Clerk,CLERICAL,561,BUDGET CLERICAL & ASSISTANCE,1,5,43-3031,5120,"BOOKKEEPING, ACCOUNTING, & AUDITING CLERKS",
540-06,Student Trainee (Accounting and Budget),540-06 Student Trainee (Accounting and Budget),Student Trainee (Accounting and Budget),GS-0599-0,GS-0599-0 Student Trainee (Accounting and Budget),540,Student Trainee Admin,CLERICAL,599,FINANCIAL MANAGEMENT STUDENT TRAINEE ,1,5*,13-2099,950,"FINANCIAL SPECIALISTS, ALL OTHER",
699-92,Student Trainee (Accounting and Budget),699-92 Student Trainee (Accounting and Budget),Student Trainee (Accounting and Budget),GS-0599-0,GS-0599-0 Student Trainee (Accounting and Budget),699,Misc Specialty,PROF ADMIN,599,FINANCIAL MANAGEMENT STUDENT TRAINEE ,1,5*,13-2099,950,"FINANCIAL SPECIALISTS, ALL OTHER",
914-01,Health Scientist,914-01 Health Scientist,Health Scientist,GS-0601-0,GS-0601-0 Health Scientist,914,Health Science,S&E,601,GENERAL MEDICAL AND HEALTHCARE,1,2,29-1199,3260,"HEALTH DIAGNOSING & TREATING PRACTITIONERS, ALL OTHER",
995-00,Expert (Health Science),995-00 Expert (Health Science),Expert (Health Science),GS-0601-0,GS-0601-0 Expert (Health Science),995,Health Science,S&E,601,GENERAL MEDICAL AND HEALTHCARE,1,2,29-1199,3260,"HEALTH DIAGNOSING & TREATING PRACTITIONERS, ALL OTHER",
