O*NET-SOC Code	Task	Category	Original Task ID	Original Task	Write-in Total	Date	Domain Source
43-5041.00	Dig dirt away from meters to take readings.	New	n/a	n/a	10	07/2016	Incumbent
43-5041.00	Install new or replace broken meters.	New	n/a	n/a	14	07/2016	Incumbent
43-5051.00	Stock lobby with retail merchandise.	New	n/a	n/a	7	07/2016	Incumbent
43-5081.01	Receive, unload, open, unpack, or issue sales floor merchandise.	Revision	2741	Receive, open, unpack and issue sales floor merchandise.	7	07/2015	Incumbent
43-5081.02	Arrange merchandise on sales floor for sale.	New	n/a	n/a	12	06/2006	Incumbent
43-5081.03	Operate equipment such as forklifts.	New	n/a	n/a	6	07/2015	Incumbent
43-5081.03	Rotate stock.	New	n/a	n/a	5	07/2015	Incumbent
43-5081.04	Stock bins or shelves.	New	n/a	n/a	6	07/2015	Incumbent
43-6011.00	Keep track of employees' time.	New	n/a	n/a	5	07/2017	Incumbent
43-9041.01	Enter insurance and claims related information into database systems.	Revision	20787	Enter claims information into database systems.	9	07/2015	Incumbent
43-9081.00	Check the facts of stories using the internet.	New	n/a	n/a	8	07/2016	Incumbent
43-9081.00	Design page layouts using text, photographs, graphics, and other elements.	New	n/a	n/a	11	07/2016	Incumbent
43-9111.00	Present results of statistical analyses to stakeholders.	New	n/a	n/a	10	07/2015	Incumbent
43-9111.00	Write code for statistical applications.	New	n/a	n/a	7	07/2015	Incumbent
45-1011.06	Arrange for the distribution of fish to customers.	New	n/a	n/a	5	08/2019	Incumbent
45-1011.06	Develop budgets.	New	n/a	n/a	7	08/2019	Incumbent
45-1011.06	Monitor water quality.	New	n/a	n/a	5	08/2019	Incumbent
45-2092.01	Plant, spray, weed, fertilize, water, and prune plants, shrubs, and trees, using gardening tools.	Revision	13372	Plant, spray, weed, fertilize, and water plants, shrubs, and trees, using hand tools and gardening tools.	7	07/2016	Incumbent
45-4011.00	Create field maps using geographic information systems technology.	New	n/a	n/a	10	07/2014	Incumbent
45-4023.00	Move logs using heavy equipment such as log loaders.	New	n/a	n/a	7	07/2017	Incumbent
47-2011.00	Conduct pressure tests on vessels, such as boilers.	New	n/a	n/a	7	07/2015	Incumbent
47-2041.00	Cut and install vinyl composition tile or vinyl base.	New	n/a	n/a	13	07/2011	Incumbent
47-2043.00	Buff and vacuum floors to ensure their cleanliness prior to the application of finish.	New	n/a	n/a	7	06/2008	Incumbent
47-2141.00	Clean tools and equipment, such as brushes and rollers.	New	n/a	n/a	7	07/2014	Incumbent
47-2141.00	Hang wallpaper.	New	n/a	n/a	7	07/2014	Incumbent
47-2152.01	Repair hydraulic or air pumps.	New	n/a	n/a	5	07/2014	Incumbent
47-2152.01	Repair or remove and replace system components.	Revision	4827	Remove and replace worn components.	8	07/2014	Incumbent
47-2171.00	Unload rebar from trucks.	New	n/a	n/a	5	07/2015	Incumbent
47-2171.00	Use forklifts or cranes to move construction material, such as rebar.	New	n/a	n/a	20	07/2015	Incumbent
47-2221.00	Assemble or inspect hoisting equipment or rigging, such as cables, pulleys, or hooks, to move heavy equipment or materials.	Revision	11554	Assemble hoisting equipment or rigging, such as cables, pulleys, or hooks, to move heavy equipment or materials.	5	07/2015	Incumbent
47-2221.00	Lift steel beams, girders, or columns using cranes or forklifts, or by signaling hoisting equipment operators to lift or position structural steel members.	Revision	20795	Hoist steel beams, girders, or columns into place, using cranes or signaling hoisting equipment operators to lift and position structural steel members.	10	07/2015	Incumbent
47-3012.00	Cut or weld metal.	New	n/a	n/a	5	07/2013	Incumbent
47-3013.00	Operate heavy equipment, such as backhoes.	New	n/a	n/a	7	07/2011	Incumbent
47-4071.00	Pump, clean, and repair septic tanks, sewer lines, or related structures such as manholes, culverts, and catch basins.	Revision	11610	Clean and repair septic tanks, sewer lines, or related structures such as manholes, culverts, and catch basins.	5	07/2017	Incumbent
47-4099.03	Determine amount of air leakage in buildings using a blower door machine.	New	n/a	n/a	6	07/2012	Occupational Expert
47-4099.03	Test combustible appliances, such as gas appliances.	New	n/a	n/a	4	07/2012	Occupational Expert
47-5013.00	Maintain and perform safety inspections on rigs, equipment, and other tools.	Revision	20451	Maintain and perform safety inspections on equipment and tools.	7	07/2013	Incumbent
47-5042.00	Monitor methane gas levels in mines to avoid carbon monoxide poisoning.	New	n/a	n/a	12	07/2005	Incumbent
47-5061.00	Check roof or ribs for hazardous conditions.	New	n/a	n/a	10	07/2017	Incumbent
47-5061.00	Clean equipment, such as dust collectors.	New	n/a	n/a	7	07/2017	Incumbent
47-5071.00	Clean trucks used in the fields.	New	n/a	n/a	5	07/2011	Incumbent
47-5071.00	Lay gas and oil pipelines.	New	n/a	n/a	5	07/2011	Incumbent
49-2095.00	Calibrate instruments, such as transmitters.	New	n/a	n/a	6	07/2017	Incumbent
49-3023.02	Perform motor oil changes.	New	n/a	n/a	8	07/2014	Incumbent
49-3023.02	Repair or rebuild transmissions.	New	n/a	n/a	10	07/2014	Incumbent
49-3031.00	Dismount, mount, and repair or replace tires.	New	n/a	n/a	6	07/2013	Incumbent
49-3051.00	Explain repair procedures to customers.	New	n/a	n/a	6	07/2015	Incumbent
49-3051.00	Repair or replace engine mechanical equipment, such as power tilts, water pumps, bilge pumps, or power take-offs.	Revision	13770	Repair engine mechanical equipment, such as power tilts, bilge pumps, or power take-offs.	5	07/2015	Incumbent
49-3052.00	Install motorcycle accessories.	New	n/a	n/a	6	07/2014	Incumbent
49-3091.00	Estimate costs of repairing bicycles and write service tickets.	New	n/a	n/a	6	07/2016	Incumbent
49-3091.00	Make adjustments to bicycles to improve customer fit and riding position.	New	n/a	n/a	7	07/2016	Incumbent
49-9041.00	Assign work schedules to work crews.	New	n/a	n/a	8	07/2013	Incumbent
49-9045.00	Reline furnaces using ramming material.	New	n/a	n/a	8	06/2007	Incumbent
49-9052.00	Set up service for customers, installing, connecting, testing, or adjusting equipment, such as digital subscriber line modems.	Revision	11850	Set up service for customers, installing, connecting, testing, or adjusting equipment.	8	07/2015	Incumbent
49-9061.00	Adjust or repair cameras, photographic mechanisms, or equipment such as range and view finders, shutters, light meters, or lens systems, using hand tools.	Revision	8437	Adjust cameras, photographic mechanisms, or equipment such as range and view finders, shutters, light meters, or lens systems, using hand tools.	15	07/2015	Incumbent
49-9062.00	Inspect, test, or troubleshoot malfunctioning medical or related equipment, following manufacturers' specifications and using test and analysis instruments.	Revision	3061	Inspect and test malfunctioning medical or related equipment, following manufacturers' specifications and using test and analysis instruments.	9	07/2013	Incumbent
49-9062.00	Install medical equipment.	New	n/a	n/a	6	07/2013	Incumbent
49-9096.00	Load machines onto trucks to prepare for transportation.	New	n/a	n/a	6	06/2007	Incumbent
49-9097.00	Test and repair track circuits.	New	n/a	n/a	5	06/2007	Incumbent
51-1011.00	Evaluate employee performance.	New	n/a	n/a	12	07/2011	Incumbent
51-3021.00	Clean and sanitize meat cases and cutting equipment.	New	n/a	n/a	15	07/2016	Incumbent
51-3022.00	Clean meat cutting equipment.	New	n/a	n/a	11	07/2017	Incumbent
51-4012.00	Order tooling for jobs.	New	n/a	n/a	8	07/2016	Incumbent
51-4031.00	Use equipment designed to join sheet metal, such as spot welders.	New	n/a	n/a	6	07/2015	Incumbent
51-4034.00	Clean work area.	New	n/a	n/a	14	07/2016	Incumbent
51-4034.00	Program computer numerical control machines.	New	n/a	n/a	5	07/2016	Incumbent
51-4081.00	Write programs for computer numerical control (CNC) machines to cut metal and plastic materials.	New	n/a	n/a	7	07/2013	Incumbent
51-4111.00	Fit and assemble parts to make, repair, or modify dies, jigs, gauges, and tools, using machine tools, hand tools, or welders.	Revision	8494	Fit and assemble parts to make, repair, or modify dies, jigs, gauges, and tools, using machine tools and hand tools.	7	07/2012	Incumbent
51-5111.00	Correct color in photographs or digital images.	New	n/a	n/a	7	07/2016	Incumbent
51-6042.00	Inspect finished products to ensure that shoes have been completed according to specifications.	New	n/a	n/a	6	06/2007	Incumbent
51-6051.00	Fit garments on clients, altering as needed.	New	n/a	n/a	8	06/2007	Occupational Expert
51-6061.00	Weigh ingredients, such as dye, to be mixed together for use in textile processing.	Revision	14135	Weigh ingredients to be mixed together for use in textile processing.	5	06/2007	Incumbent
51-8099.03	Operate heavy equipment, such as bulldozers and front-end loaders.	New	n/a	n/a	5	07/2012	Incumbent
51-8099.03	Perform tests of water chemistry in boilers.	New	n/a	n/a	6	07/2012	Incumbent
51-9011.00	Load products into tanks for shipment.	New	n/a	n/a	5	07/2015	Incumbent
51-9023.00	Clean work areas.	New	n/a	n/a	9	07/2014	Incumbent
51-9082.00	Order parts or supplies for orthotic or prosthetic devices.	New	n/a	n/a	8	07/2015	Incumbent
51-9083.00	Tint lenses according to customer specifications.	New	n/a	n/a	6	07/2015	Incumbent
51-9151.00	Adjust digital images using software.	New	n/a	n/a	10	07/2017	Incumbent
51-9195.05	Attach handles to pottery pieces.	New	n/a	n/a	6	06/2008	Incumbent
51-9195.05	Design spaces to display pottery for sale.	New	n/a	n/a	5	06/2008	Incumbent
51-9195.05	Load glazed pieces into kilns for firing and unload finished pieces.	Revision	15116	Mix and apply glazes, and load glazed pieces into kilns for firing.	10	06/2008	Incumbent
51-9195.05	Mix and apply glazes to pottery pieces using tools such as spray guns.	Revision	15116	Mix and apply glazes, and load glazed pieces into kilns for firing.	10	06/2008	Incumbent
51-9195.05	Operate gas or electric kilns to fire pottery pieces.	New	n/a	n/a	9	06/2008	Incumbent
51-9195.05	Pack and ship pottery to stores or galleries for retail.	New	n/a	n/a	11	06/2008	Incumbent
51-9197.00	Buff tires according to specifications for width and undertread depth.	New	n/a	n/a	6	06/2007	Incumbent
53-2021.00	Monitor, direct, or sequence the movement of aircraft within an assigned air space or on the ground at airports to minimize delays and maximize safety.	Revision	12729	Monitor or direct the movement of aircraft within an assigned air space or on the ground at airports to minimize delays and maximize safety.	5	07/2014	Incumbent
53-2022.00	Conduct inspections of the airport property and perimeter to maintain controlled access to airfields.	New	n/a	n/a	7	07/2013	Incumbent
53-2022.00	Initiate or conduct airport-wide coordination of snow removal on runways and taxiways.	New	n/a	n/a	6	07/2013	Incumbent
53-2022.00	Inspect airfield conditions to ensure compliance with federal regulatory requirements.	New	n/a	n/a	21	07/2013	Incumbent
53-2031.00	Monitor passenger behavior to identify threats to the safety of the crew and other passengers.	New	n/a	n/a	13	07/2012	Incumbent
53-3032.00	Perform basic vehicle maintenance tasks, such as adding oil, fuel, or radiator fluid, performing minor repairs, or washing trucks.	Revision	10653	Perform basic vehicle maintenance tasks, such as adding oil, fuel, or radiator fluid or performing minor repairs.	5	07/2014	Incumbent
53-4012.00	Operate locomotives under the instruction of engineers.	New	n/a	n/a	5	06/2009	Occupational Expert
53-4021.00	Conduct brake tests to determine the condition of brakes on trains.	New	n/a	n/a	6	06/2007	Incumbent
53-5021.02	Conduct safety drills such as man overboard or fire drills.	New	n/a	n/a	6	07/2015	Incumbent
53-6051.08	Visually inspect cargo for damage upon arrival or discharge.	New	n/a	n/a	6	06/2008	Incumbent
53-7021.00	Inspect crane site conditions to determine ground stability.	New	n/a	n/a	6	07/2015	Incumbent
53-7031.00	Perform maintenance on dredge equipment, such as changing engine oil.	New	n/a	n/a	6	06/2008	Incumbent
53-7062.00	Check freight, stock, or other materials for damage.	New	n/a	n/a	6	07/2013	Incumbent
53-7062.00	Take inventory of freight, stock, or other materials used on site.	New	n/a	n/a	5	07/2013	Incumbent
53-7064.00	Examine and inspect containers, materials, or products to ensure that product quality and packing specifications are met.	Revision	3213	Examine and inspect containers, materials, and products to ensure that packing specifications are met.	7	07/2011	Incumbent
53-7111.00	Clean, fuel, service, and perform safety checks on all equipment, and repair and replace parts as necessary.	Revision	5028	Clean, fuel, and service equipment, and repair and replace parts as necessary.	16	12/2004	Incumbent
53-7111.00	Examine roadway and clear obstructions from the path of travel.	New	n/a	n/a	8	12/2004	Incumbent
53-7111.00	Handle high voltage sources and hang electrical cables.	New	n/a	n/a	8	12/2004	Incumbent
