O*NET-SOC Code	Element ID	Element Name	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
17-3029.07	3.A.2	On-Site or In-Plant Training	PT	3	20.75	22	9.86	6.99	47.68	N	07/2012	Incumbent
17-3029.07	3.A.2	On-Site or In-Plant Training	PT	4	24.81	22	12.64	7.46	57.45	N	07/2012	Incumbent
17-3029.07	3.A.2	On-Site or In-Plant Training	PT	5	18.09	22	9.20	5.72	44.55	N	07/2012	Incumbent
17-3029.07	3.A.2	On-Site or In-Plant Training	PT	6	2.80	22	2.78	0.34	19.47	N	07/2012	Incumbent
17-3029.07	3.A.2	On-Site or In-Plant Training	PT	7	3.77	22	3.77	0.45	25.44	N	07/2012	Incumbent
17-3029.07	3.A.2	On-Site or In-Plant Training	PT	8	8.59	22	8.14	1.08	44.81	N	07/2012	Incumbent
17-3029.07	3.A.2	On-Site or In-Plant Training	PT	9	0.04	22	0.04	0.00	0.34	N	07/2012	Incumbent
17-3029.07	3.A.3	On-the-Job Training	OJ	1	0.00	22	0.00	n/a	n/a	N	07/2012	Incumbent
17-3029.07	3.A.3	On-the-Job Training	OJ	2	27.90	22	12.08	9.99	57.44	N	07/2012	Incumbent
17-3029.07	3.A.3	On-the-Job Training	OJ	3	1.85	22	1.90	0.21	14.35	N	07/2012	Incumbent
17-3029.07	3.A.3	On-the-Job Training	OJ	4	25.52	22	12.64	7.91	57.74	N	07/2012	Incumbent
17-3029.07	3.A.3	On-the-Job Training	OJ	5	22.01	22	9.85	7.89	48.20	N	07/2012	Incumbent
17-3029.07	3.A.3	On-the-Job Training	OJ	6	11.29	22	7.33	2.71	36.82	N	07/2012	Incumbent
17-3029.07	3.A.3	On-the-Job Training	OJ	7	2.84	22	2.79	0.36	19.27	N	07/2012	Incumbent
17-3029.07	3.A.3	On-the-Job Training	OJ	8	8.53	22	8.14	1.05	44.96	N	07/2012	Incumbent
17-3029.07	3.A.3	On-the-Job Training	OJ	9	0.06	22	0.06	0.01	0.52	N	07/2012	Incumbent
17-3029.08	2.D.1	Required Level of Education	RL	1	0.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	2.D.1	Required Level of Education	RL	2	12.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	2.D.1	Required Level of Education	RL	3	12.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	2.D.1	Required Level of Education	RL	4	16.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	2.D.1	Required Level of Education	RL	5	32.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	2.D.1	Required Level of Education	RL	6	12.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	2.D.1	Required Level of Education	RL	7	8.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	2.D.1	Required Level of Education	RL	8	8.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	2.D.1	Required Level of Education	RL	9	0.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	2.D.1	Required Level of Education	RL	10	0.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	2.D.1	Required Level of Education	RL	11	0.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	2.D.1	Required Level of Education	RL	12	0.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.1	Related Work Experience	RW	1	12.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.1	Related Work Experience	RW	2	4.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.1	Related Work Experience	RW	3	0.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.1	Related Work Experience	RW	4	0.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.1	Related Work Experience	RW	5	16.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.1	Related Work Experience	RW	6	24.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.1	Related Work Experience	RW	7	16.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.1	Related Work Experience	RW	8	12.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.1	Related Work Experience	RW	9	12.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.1	Related Work Experience	RW	10	0.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.1	Related Work Experience	RW	11	4.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.2	On-Site or In-Plant Training	PT	1	8.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.2	On-Site or In-Plant Training	PT	2	4.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.2	On-Site or In-Plant Training	PT	3	24.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.2	On-Site or In-Plant Training	PT	4	12.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.2	On-Site or In-Plant Training	PT	5	20.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.2	On-Site or In-Plant Training	PT	6	28.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.2	On-Site or In-Plant Training	PT	7	0.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.2	On-Site or In-Plant Training	PT	8	4.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.2	On-Site or In-Plant Training	PT	9	0.00	25	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.3	On-the-Job Training	OJ	1	0.00	24	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.3	On-the-Job Training	OJ	2	0.00	24	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.3	On-the-Job Training	OJ	3	16.67	24	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.3	On-the-Job Training	OJ	4	12.50	24	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.3	On-the-Job Training	OJ	5	41.67	24	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.3	On-the-Job Training	OJ	6	20.83	24	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.3	On-the-Job Training	OJ	7	4.17	24	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.3	On-the-Job Training	OJ	8	4.17	24	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.08	3.A.3	On-the-Job Training	OJ	9	0.00	24	n/a	n/a	n/a	n/a	07/2013	Occupational Expert
17-3029.09	2.D.1	Required Level of Education	RL	1	0.00	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	2.D.1	Required Level of Education	RL	2	26.09	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	2.D.1	Required Level of Education	RL	3	26.09	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	2.D.1	Required Level of Education	RL	4	8.70	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	2.D.1	Required Level of Education	RL	5	21.74	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	2.D.1	Required Level of Education	RL	6	17.39	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	2.D.1	Required Level of Education	RL	7	0.00	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	2.D.1	Required Level of Education	RL	8	0.00	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	2.D.1	Required Level of Education	RL	9	0.00	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	2.D.1	Required Level of Education	RL	10	0.00	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	2.D.1	Required Level of Education	RL	11	0.00	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	2.D.1	Required Level of Education	RL	12	0.00	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.1	Related Work Experience	RW	1	4.35	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.1	Related Work Experience	RW	2	0.00	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.1	Related Work Experience	RW	3	0.00	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.1	Related Work Experience	RW	4	0.00	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.1	Related Work Experience	RW	5	17.39	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.1	Related Work Experience	RW	6	26.09	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.1	Related Work Experience	RW	7	30.43	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.1	Related Work Experience	RW	8	13.04	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.1	Related Work Experience	RW	9	4.35	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.1	Related Work Experience	RW	10	4.35	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.1	Related Work Experience	RW	11	0.00	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.2	On-Site or In-Plant Training	PT	1	13.04	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.2	On-Site or In-Plant Training	PT	2	30.43	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.2	On-Site or In-Plant Training	PT	3	8.70	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.2	On-Site or In-Plant Training	PT	4	8.70	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.2	On-Site or In-Plant Training	PT	5	30.43	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.2	On-Site or In-Plant Training	PT	6	4.35	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.2	On-Site or In-Plant Training	PT	7	4.35	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.2	On-Site or In-Plant Training	PT	8	0.00	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.2	On-Site or In-Plant Training	PT	9	0.00	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.3	On-the-Job Training	OJ	1	0.00	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.3	On-the-Job Training	OJ	2	17.39	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.3	On-the-Job Training	OJ	3	17.39	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.3	On-the-Job Training	OJ	4	21.74	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.3	On-the-Job Training	OJ	5	30.43	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.3	On-the-Job Training	OJ	6	8.70	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.3	On-the-Job Training	OJ	7	4.35	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.3	On-the-Job Training	OJ	8	0.00	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.09	3.A.3	On-the-Job Training	OJ	9	0.00	23	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	2.D.1	Required Level of Education	RL	1	0.00	22	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	2.D.1	Required Level of Education	RL	2	0.00	22	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	2.D.1	Required Level of Education	RL	3	0.00	22	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	2.D.1	Required Level of Education	RL	4	0.00	22	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	2.D.1	Required Level of Education	RL	5	4.55	22	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	2.D.1	Required Level of Education	RL	6	18.18	22	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	2.D.1	Required Level of Education	RL	7	0.00	22	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	2.D.1	Required Level of Education	RL	8	18.18	22	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	2.D.1	Required Level of Education	RL	9	0.00	22	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	2.D.1	Required Level of Education	RL	10	9.09	22	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	2.D.1	Required Level of Education	RL	11	31.82	22	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	2.D.1	Required Level of Education	RL	12	18.18	22	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.1	Related Work Experience	RW	1	13.64	22	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.1	Related Work Experience	RW	2	0.00	22	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.1	Related Work Experience	RW	3	0.00	22	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.1	Related Work Experience	RW	4	0.00	22	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.1	Related Work Experience	RW	5	18.18	22	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.1	Related Work Experience	RW	6	27.27	22	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.1	Related Work Experience	RW	7	27.27	22	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.1	Related Work Experience	RW	8	4.55	22	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.1	Related Work Experience	RW	9	4.55	22	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.1	Related Work Experience	RW	10	0.00	22	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.1	Related Work Experience	RW	11	4.55	22	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.2	On-Site or In-Plant Training	PT	1	23.81	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.2	On-Site or In-Plant Training	PT	2	33.33	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.2	On-Site or In-Plant Training	PT	3	23.81	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.2	On-Site or In-Plant Training	PT	4	4.76	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.2	On-Site or In-Plant Training	PT	5	0.00	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.2	On-Site or In-Plant Training	PT	6	14.29	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.2	On-Site or In-Plant Training	PT	7	0.00	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.2	On-Site or In-Plant Training	PT	8	0.00	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.2	On-Site or In-Plant Training	PT	9	0.00	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.3	On-the-Job Training	OJ	1	9.52	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.3	On-the-Job Training	OJ	2	9.52	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.3	On-the-Job Training	OJ	3	23.81	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.3	On-the-Job Training	OJ	4	23.81	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.3	On-the-Job Training	OJ	5	19.05	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.3	On-the-Job Training	OJ	6	4.76	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.3	On-the-Job Training	OJ	7	9.52	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.3	On-the-Job Training	OJ	8	0.00	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.11	3.A.3	On-the-Job Training	OJ	9	0.00	21	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3029.12	2.D.1	Required Level of Education	RL	1	0.00	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	2.D.1	Required Level of Education	RL	2	0.00	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	2.D.1	Required Level of Education	RL	3	4.17	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	2.D.1	Required Level of Education	RL	4	4.17	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	2.D.1	Required Level of Education	RL	5	41.67	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	2.D.1	Required Level of Education	RL	6	41.67	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	2.D.1	Required Level of Education	RL	7	0.00	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	2.D.1	Required Level of Education	RL	8	4.17	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	2.D.1	Required Level of Education	RL	9	0.00	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	2.D.1	Required Level of Education	RL	10	0.00	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	2.D.1	Required Level of Education	RL	11	0.00	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	2.D.1	Required Level of Education	RL	12	4.17	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.1	Related Work Experience	RW	1	8.33	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.1	Related Work Experience	RW	2	0.00	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.1	Related Work Experience	RW	3	0.00	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.1	Related Work Experience	RW	4	4.17	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.1	Related Work Experience	RW	5	8.33	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.1	Related Work Experience	RW	6	33.33	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.1	Related Work Experience	RW	7	25.00	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.1	Related Work Experience	RW	8	12.50	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.1	Related Work Experience	RW	9	4.17	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.1	Related Work Experience	RW	10	0.00	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.1	Related Work Experience	RW	11	4.17	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.2	On-Site or In-Plant Training	PT	1	4.17	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.2	On-Site or In-Plant Training	PT	2	20.83	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.2	On-Site or In-Plant Training	PT	3	25.00	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.2	On-Site or In-Plant Training	PT	4	20.83	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.2	On-Site or In-Plant Training	PT	5	8.33	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.2	On-Site or In-Plant Training	PT	6	0.00	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.2	On-Site or In-Plant Training	PT	7	20.83	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.2	On-Site or In-Plant Training	PT	8	0.00	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.2	On-Site or In-Plant Training	PT	9	0.00	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.3	On-the-Job Training	OJ	1	0.00	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.3	On-the-Job Training	OJ	2	12.50	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.3	On-the-Job Training	OJ	3	16.67	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.3	On-the-Job Training	OJ	4	25.00	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.3	On-the-Job Training	OJ	5	8.33	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.3	On-the-Job Training	OJ	6	12.50	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.3	On-the-Job Training	OJ	7	25.00	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.3	On-the-Job Training	OJ	8	0.00	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3029.12	3.A.3	On-the-Job Training	OJ	9	0.00	24	n/a	n/a	n/a	n/a	07/2016	Occupational Expert
17-3031.01	2.D.1	Required Level of Education	RL	1	0.00	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	2.D.1	Required Level of Education	RL	2	25.00	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	2.D.1	Required Level of Education	RL	3	20.83	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	2.D.1	Required Level of Education	RL	4	16.67	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	2.D.1	Required Level of Education	RL	5	33.33	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	2.D.1	Required Level of Education	RL	6	4.17	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	2.D.1	Required Level of Education	RL	7	0.00	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	2.D.1	Required Level of Education	RL	8	0.00	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	2.D.1	Required Level of Education	RL	9	0.00	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	2.D.1	Required Level of Education	RL	10	0.00	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	2.D.1	Required Level of Education	RL	11	0.00	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	2.D.1	Required Level of Education	RL	12	0.00	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.1	Related Work Experience	RW	1	16.67	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.1	Related Work Experience	RW	2	0.00	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.1	Related Work Experience	RW	3	0.00	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.1	Related Work Experience	RW	4	0.00	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.1	Related Work Experience	RW	5	8.33	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.1	Related Work Experience	RW	6	37.50	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.1	Related Work Experience	RW	7	29.17	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.1	Related Work Experience	RW	8	4.17	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.1	Related Work Experience	RW	9	0.00	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.1	Related Work Experience	RW	10	4.17	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.1	Related Work Experience	RW	11	0.00	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.2	On-Site or In-Plant Training	PT	1	20.83	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.2	On-Site or In-Plant Training	PT	2	25.00	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.2	On-Site or In-Plant Training	PT	3	12.50	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.2	On-Site or In-Plant Training	PT	4	16.67	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.2	On-Site or In-Plant Training	PT	5	4.17	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.2	On-Site or In-Plant Training	PT	6	12.50	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.2	On-Site or In-Plant Training	PT	7	4.17	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.2	On-Site or In-Plant Training	PT	8	4.17	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.2	On-Site or In-Plant Training	PT	9	0.00	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.3	On-the-Job Training	OJ	1	12.50	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.3	On-the-Job Training	OJ	2	12.50	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.3	On-the-Job Training	OJ	3	20.83	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.3	On-the-Job Training	OJ	4	25.00	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.3	On-the-Job Training	OJ	5	8.33	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.3	On-the-Job Training	OJ	6	8.33	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.3	On-the-Job Training	OJ	7	4.17	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.3	On-the-Job Training	OJ	8	4.17	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.01	3.A.3	On-the-Job Training	OJ	9	4.17	24	n/a	n/a	n/a	n/a	07/2017	Occupational Expert
17-3031.02	2.D.1	Required Level of Education	RL	1	0.00	22	0.00	n/a	n/a	N	07/2014	Incumbent
17-3031.02	2.D.1	Required Level of Education	RL	2	8.64	22	7.87	1.18	42.92	N	07/2014	Incumbent
